index,SYMPTOMS,JACKFRUIT,SAMBONG,LEMON,JASMINE,MANGO,MINT,AMPALAYA,MALUNGGAY,GUAVA,LAGUNDI
0,My need concerns with Vitamin C,1,0,1,0,1,0,0,0,1,0
1,I have stomach discomfort,0,1,0,0,0,1,0,0,0,0
2,Is there a remedy for loose bowel movement,0,1,0,0,0,0,0,0,0,0
3,What herbal should I use with lower respiratory tract infection,0,1,0,0,0,0,0,0,1,1
4,Which natural remedy should I use for pharyngitis,0,1,0,0,0,0,0,0,1,1
5,Which natural remedy should I use for infection,0,1,0,0,1,0,1,0,1,0
6,I need a herbal for kidney disease,0,1,0,0,0,0,0,0,0,0
7,Herbal for hypertension,0,1,0,0,0,0,0,0,0,0
8,Is there a herbal for oral bacteria,0,0,0,0,0,1,0,0,0,0
9,Which natural remedy should I use for hepatitis,0,1,0,1,0,0,0,0,0,0
10,My need concerns with hepatitis,0,1,0,1,0,0,0,0,0,0
11,I have headaches,0,0,0,0,0,1,0,0,0,0
12,Is there a remedy for skin irritation,0,0,0,0,0,0,0,0,0,1
13,My need concerns with asthma,0,0,0,0,0,0,0,0,0,1
14,Herbal for weight management,0,0,0,0,0,0,1,0,0,0
15,Herbal for gut,0,0,1,0,0,0,0,0,0,0
16,I need a herbal for cell repair,0,0,0,0,1,0,0,0,1,0
17,I need a herbal for cirrhosis,0,0,0,1,0,0,0,0,0,0
18,My need concerns with high fiber,0,0,1,0,0,0,1,0,0,0
19,Is there a remedy for Parkinsonâ€™s disease,0,0,0,1,0,0,0,0,0,0
20,I have antimicrobial,0,1,0,0,0,1,0,0,1,1
21,I have Alzheimerâ€™s disease,0,0,0,1,0,0,0,0,0,0
22,Which natural remedy should I use for fever,0,1,0,0,0,0,0,0,0,1
23,What herbal should I use with antibacterial,0,0,0,0,1,0,0,0,0,0
24,Herbal for calm,0,0,0,1,0,1,0,0,0,0
25,I need a herbal for flavonoids,1,0,0,0,0,0,0,1,1,1
26,I need a herbal for gut problems,1,0,0,0,0,0,0,0,0,0
27,I need a herbal for anxiety,0,0,0,1,0,0,0,0,0,0
28,I need a herbal for blood clotting,0,1,0,0,0,0,0,0,0,0
29,My need concerns with healthy hair,0,0,0,0,1,0,0,0,0,0
30,I have insect bites,0,0,0,0,0,0,0,0,0,1
31,I have nausea,0,0,0,0,0,1,0,0,0,0
32,My need concerns with dysentery,0,0,0,1,0,0,0,0,1,0
33,I need a herbal for minerals,0,0,0,0,1,0,0,0,0,0
34,Which natural remedy should I use for promote satiety/satisfaction,0,0,0,0,0,0,1,0,0,0
35,Is there a remedy for laryngitis,0,1,0,0,0,0,0,0,1,1
36,Is there a remedy for inflammation,1,1,0,1,0,0,0,1,0,1
37,Is there a herbal for liver disease,0,0,0,1,0,0,0,0,0,0
38,I have hair,0,0,0,0,1,0,0,0,0,0
39,Is there a herbal for aromatherapy,0,0,0,0,0,1,0,0,0,0
40,I need a herbal for kidney stones,0,1,1,0,0,0,0,0,0,0
41,My need concerns with staph infection,0,0,0,0,1,0,0,0,0,0
42,What herbal should I use with migraine,0,0,0,0,0,1,0,0,0,0
43,My need concerns with bad breath,0,0,0,0,0,1,0,0,0,0
44,Herbal for skincare,0,0,0,0,0,0,0,1,0,0
45,My need concerns with healthy digestion,0,0,0,0,0,1,0,0,0,0
46,My need concerns with bloating,0,0,0,0,0,1,0,0,0,0
47,Herbal for vitamin C,0,0,0,0,0,0,0,1,0,0
48,I need a herbal for respiratory ailments,0,0,0,0,0,0,0,0,0,1
49,My need concerns with rich in fiber,0,0,1,0,0,0,1,0,0,0
50,I need a herbal for cell damage,0,0,0,0,1,0,0,0,1,0
51,What herbal should I use with Alzheimerâ€™s disease,0,0,0,1,0,0,0,0,0,0
52,Herbal for low calories,0,0,0,0,1,0,0,0,0,0
53,Is there a herbal for skin burns,0,0,0,0,1,0,0,0,0,0
54,My need concerns with digestive discomfort,0,0,0,0,0,1,0,0,0,0
55,I have pregnancy,0,0,0,0,1,0,0,0,0,0
56,Is there a remedy for antitumor,0,1,0,0,0,0,0,0,0,0
57,My need concerns with UTI,0,1,0,0,0,0,0,0,0,0
58,I need a herbal for bloating,0,0,0,0,0,1,0,0,0,0
