index,SYMPTOMS,JACKFRUIT,SAMBONG,LEMON,JASMINE,MANGO,MINT,AMPALAYA,MALUNGGAY,GUAVA,LAGUNDI
0,Is there a remedy for headaches,0,0,0,0,0,1,0,0,0,0
1,Is there a herbal for high uric acid,0,1,0,0,0,0,0,0,0,0
2,Is there a remedy for indigestion,0,0,0,0,0,1,0,0,1,0
3,What herbal should I use with stroke,0,0,1,0,0,0,0,0,0,0
4,Is there a remedy for fiber,1,0,1,0,0,0,0,0,1,0
5,Which natural remedy should I use for lower respiratory tract infection,0,1,0,0,0,0,0,0,1,1
6,Is there a herbal for calcium,0,0,0,0,0,0,0,1,0,0
7,What herbal should I use with diabetes,1,0,0,0,1,0,1,1,1,0
8,I need a herbal for low calories,0,0,0,0,1,0,0,0,0,0
9,I have muscle pain,0,1,0,0,0,0,0,0,0,1
10,I have anti-diarrhea,0,1,0,0,0,0,0,0,0,0
11,Which natural remedy should I use for anxiety,0,0,0,1,0,0,0,0,0,0
12,Is there a herbal for digestion,0,0,0,0,0,1,0,0,1,0
13,I need a herbal for blood clotting,0,1,0,0,0,0,0,0,0,0
14,I need a herbal for infected wound,0,1,0,0,0,0,0,0,0,0
15,I need a herbal for ulcers,1,0,0,0,0,0,0,0,0,0
16,My need concerns with aromatherapy,0,0,0,0,0,1,0,0,0,0
17,Herbal for pregnancy,0,0,0,0,1,0,0,0,0,0
18,What herbal should I use with sedative,0,0,1,1,0,0,0,0,0,0
19,Is there a remedy for upper respiratory tract infection,0,1,0,0,0,0,0,0,1,1
20,I have pregnancy,0,0,0,0,1,0,0,0,0,0
21,What herbal should I use with antimicrobial,0,1,0,0,0,1,0,0,1,1
22,I need a herbal for dull hair,0,0,0,0,1,0,0,0,0,0
23,Is there a remedy for antioxidant,0,1,0,1,0,0,1,1,1,0
24,What herbal should I use with skin,0,0,0,0,1,0,0,0,1,1
25,Herbal for acute rhinosinusitis,0,1,0,0,0,0,0,0,0,0
26,Which natural remedy should I use for antioxidant,0,1,0,1,0,0,1,1,1,0
27,Is there a remedy for Vitamin A,0,0,0,0,1,0,0,0,0,0
28,What herbal should I use with anxiety,0,0,0,1,0,0,0,0,0,0
29,What herbal should I use with platelet aggregation,0,1,0,0,0,0,0,0,0,0
30,Is there a remedy for scalds on skin,0,0,0,0,1,0,0,0,0,0
31,I have hypertension,0,1,0,0,0,0,0,0,0,0
32,What herbal should I use with anti-diarrhea,0,1,0,0,0,0,0,0,0,0
33,Which natural remedy should I use for digestion,0,0,0,0,0,1,0,0,1,0
34,I need a herbal for cell repair,0,0,0,0,1,0,0,0,1,0
35,Is there a remedy for liver,0,1,0,1,0,0,1,0,0,0
36,Is there a remedy for cold,0,0,0,0,0,1,0,0,0,1
37,What herbal should I use with refreshing,0,0,0,0,0,1,0,0,0,0
38,Herbal for kidney problem,0,1,0,0,0,0,0,0,0,0
39,My need concerns with laryngitis,0,1,0,0,0,0,0,0,1,1
40,Herbal for malnutrition,0,0,0,0,0,0,0,1,0,0
41,Is there a herbal for citric acid,0,0,1,0,0,0,0,0,0,0
42,Is there a remedy for acute rhinitis,0,1,0,0,0,0,0,0,0,0
43,Is there a remedy for blood clotting,0,1,0,0,0,0,0,0,0,0
44,I need a herbal for liver pain,0,0,0,1,0,0,0,0,0,0
45,Is there a herbal for vitamin A,0,0,0,0,0,0,0,1,0,0
46,Is there a herbal for urinary tract infection,0,1,0,0,0,0,0,0,0,0
47,My need concerns with immune system,1,0,0,1,1,0,1,0,1,0
48,I have medicine,0,0,0,1,0,0,0,0,0,1
49,Is there a remedy for stroke,0,0,1,0,0,0,0,0,0,0
50,Which natural remedy should I use for gut,0,0,1,0,0,0,0,0,0,0
51,Herbal for rich in iron,0,0,1,0,1,0,0,0,0,0
52,I have LBM,0,1,0,0,0,0,0,0,0,0
53,Is there a remedy for rich in minerals,0,0,0,0,0,0,1,0,0,0
54,Is there a remedy for lower respiratory tract infection,0,1,0,0,0,0,0,0,1,1
55,Is there a remedy for acute otitis media,0,1,0,0,0,0,0,0,0,0
56,My need concerns with gut problems,1,0,0,0,0,0,0,0,0,0
57,Is there a herbal for relax muscle,0,1,0,0,0,0,0,0,0,0
58,Herbal for nasal congestion,0,1,0,0,0,2,0,0,0,1
59,Is there a herbal for cooling sensation,0,0,0,0,0,1,0,0,0,0
60,Is there a herbal for mental clarity,0,0,0,1,0,0,0,0,0,0
61,I have rich in vitamins,0,0,0,0,0,0,1,1,0,0
62,I need a herbal for cirrhosis,0,0,0,1,0,0,0,0,0,0
63,What herbal should I use with hepatitis,0,1,0,1,0,0,0,0,0,0
64,My need concerns with loose stools,0,1,0,0,0,0,0,0,0,0
65,I need a herbal for sore throat,0,0,0,0,0,1,0,0,0,1
66,I need a herbal for cough,0,1,0,0,0,1,0,0,1,1
67,What herbal should I use with bloating,0,0,0,0,0,1,0,0,0,0
68,What herbal should I use with hepatoprotective,0,1,0,1,0,0,0,0,0,0
69,Is there a herbal for kidney stones,0,1,1,0,0,0,0,0,0,0
70,Which natural remedy should I use for skin irritation,0,0,0,0,0,0,0,0,0,1
71,Is there a herbal for staph infection,0,0,0,0,1,0,0,0,0,0
72,I have anti-diabetic,1,0,0,0,1,0,1,0,0,0
73,My need concerns with tumor,0,1,0,0,0,0,0,0,0,0
74,Is there a herbal for stroke,0,0,1,0,0,0,0,0,0,0
75,My need concerns with viral infection,1,0,0,0,0,0,0,0,0,0
76,I have pharyngitis,0,1,0,0,0,0,0,0,1,1
77,My need concerns with hepatitis,0,1,0,1,0,0,0,0,0,0
78,My need concerns with mental clarity,0,0,0,1,0,0,0,0,0,0
79,My need concerns with high uric acid,0,1,0,0,0,0,0,0,0,0
80,I need a herbal for respiratory infection,0,1,0,0,0,0,0,0,1,1
81,Which natural remedy should I use for rhinitis,0,1,0,0,0,1,0,0,0,0
82,Herbal for skin infection,0,0,0,0,1,0,0,0,0,0
83,My need concerns with digestion,0,0,0,0,0,1,0,0,1,0
84,I have tonsilitis,0,1,0,0,0,0,0,0,1,1
85,Which natural remedy should I use for tea,0,1,1,1,0,0,0,1,1,0
86,Is there a herbal for liver disease,0,0,0,1,0,0,0,0,0,0
87,Herbal for anti-obesity,0,1,0,0,0,0,0,0,0,0
88,Is there a remedy for cancer,1,0,0,1,0,0,0,0,0,0
89,I need a herbal for heart problems,1,0,0,0,0,0,0,0,0,0
90,What herbal should I use with vitamin E,0,0,0,0,0,0,0,1,0,0
91,Is there a remedy for viral infection,1,0,0,0,0,0,0,0,0,0
92,I have stress,0,0,0,1,0,0,0,1,0,0
93,Is there a remedy for promote satiety/satisfaction,0,0,0,0,0,0,1,0,0,0
94,I need a herbal for weight management,0,0,0,0,0,0,1,0,0,0
95,I need a herbal for lower respiratory tract infection,0,1,0,0,0,0,0,0,1,1
96,My need concerns with protein,0,0,0,0,0,0,0,1,0,0
97,What herbal should I use with hypertension,0,1,0,0,0,0,0,0,0,0
98,Herbal for cell growth,0,0,0,0,1,0,0,0,1,0
99,Is there a remedy for cell damage,0,0,0,0,1,0,0,0,1,0
100,I need a herbal for healthy digestion,0,0,0,0,0,1,0,0,0,0
