,image_name,x0,y0,x1,y1,class
0,Transformed/Artocarpus Heterophyllus (Jackfruit)/1_0_0_0.jpg,0.0,0.0,0.375,0.5,Artocarpus Heterophyllus (Jackfruit)
1,Transformed/Artocarpus Heterophyllus (Jackfruit)/1_0_1_0.jpg,0.625,0.0,1.0,0.5,Artocarpus Heterophyllus (Jackfruit)
2,Transformed/Artocarpus Heterophyllus (Jackfruit)/1_0_0_1.jpg,0.0,0.5,0.375,1.0,Artocarpus Heterophyllus (Jackfruit)
3,Transformed/Artocarpus Heterophyllus (Jackfruit)/1_0_1_1.jpg,0.625,0.5,1.0,1.0,Artocarpus Heterophyllus (Jackfruit)
4,Transformed/Artocarpus Heterophyllus (Jackfruit)/1_22_0_0.jpg,0.0,0.0,0.5349972421705013,0.6040693998143607,Artocarpus Heterophyllus (Jackfruit)
5,Transformed/Artocarpus Heterophyllus (Jackfruit)/1_22_1_0.jpg,0.465,0.0,0.9999972421705013,0.6040693998143607,Artocarpus Heterophyllus (Jackfruit)
6,Transformed/Artocarpus Heterophyllus (Jackfruit)/1_22_0_1.jpg,0.0,0.39,0.5349972421705013,0.9940693998143607,Artocarpus Heterophyllus (Jackfruit)
7,Transformed/Artocarpus Heterophyllus (Jackfruit)/1_22_1_1.jpg,0.465,0.39,0.9999972421705013,0.9940693998143607,Artocarpus Heterophyllus (Jackfruit)
8,Transformed/Artocarpus Heterophyllus (Jackfruit)/1_45_0_0.jpg,0.0,0.0,0.6187184335382291,0.6187184335382291,Artocarpus Heterophyllus (Jackfruit)
9,Transformed/Artocarpus Heterophyllus (Jackfruit)/1_45_1_0.jpg,0.375,0.0,0.9937184335382291,0.6187184335382291,Artocarpus Heterophyllus (Jackfruit)
10,Transformed/Artocarpus Heterophyllus (Jackfruit)/1_45_0_1.jpg,0.0,0.38,0.6187184335382291,0.9987184335382291,Artocarpus Heterophyllus (Jackfruit)
11,Transformed/Artocarpus Heterophyllus (Jackfruit)/1_45_1_1.jpg,0.375,0.38,0.9937184335382291,0.9987184335382291,Artocarpus Heterophyllus (Jackfruit)
12,Transformed/Artocarpus Heterophyllus (Jackfruit)/1_67_0_0.jpg,0.0,0.0,0.6067765999096979,0.540554884289302,Artocarpus Heterophyllus (Jackfruit)
13,Transformed/Artocarpus Heterophyllus (Jackfruit)/1_67_1_0.jpg,0.385,0.0,0.9917765999096979,0.540554884289302,Artocarpus Heterophyllus (Jackfruit)
14,Transformed/Artocarpus Heterophyllus (Jackfruit)/1_67_0_1.jpg,0.0,0.45,0.6067765999096979,0.990554884289302,Artocarpus Heterophyllus (Jackfruit)
15,Transformed/Artocarpus Heterophyllus (Jackfruit)/1_67_1_1.jpg,0.385,0.45,0.9917765999096979,0.990554884289302,Artocarpus Heterophyllus (Jackfruit)
16,Transformed/Artocarpus Heterophyllus (Jackfruit)/1_90_0_0.jpg,0.0,0.0,0.5,0.5,Artocarpus Heterophyllus (Jackfruit)
17,Transformed/Artocarpus Heterophyllus (Jackfruit)/1_90_1_0.jpg,0.5,0.0,1.0,0.5,Artocarpus Heterophyllus (Jackfruit)
18,Transformed/Artocarpus Heterophyllus (Jackfruit)/1_90_0_1.jpg,0.0,0.625,0.5,1.125,Artocarpus Heterophyllus (Jackfruit)
19,Transformed/Artocarpus Heterophyllus (Jackfruit)/1_90_1_1.jpg,0.5,0.625,1.0,1.125,Artocarpus Heterophyllus (Jackfruit)
20,Transformed/Artocarpus Heterophyllus (Jackfruit)/1_112_0_0.jpg,0.0,0.0,0.6040693998143607,0.5349972421705013,Artocarpus Heterophyllus (Jackfruit)
21,Transformed/Artocarpus Heterophyllus (Jackfruit)/1_112_1_0.jpg,0.395,0.0,0.9990693998143607,0.5349972421705013,Artocarpus Heterophyllus (Jackfruit)
22,Transformed/Artocarpus Heterophyllus (Jackfruit)/1_112_0_1.jpg,0.0,0.46,0.6040693998143607,0.9949972421705013,Artocarpus Heterophyllus (Jackfruit)
23,Transformed/Artocarpus Heterophyllus (Jackfruit)/1_112_1_1.jpg,0.395,0.46,0.9990693998143607,0.9949972421705013,Artocarpus Heterophyllus (Jackfruit)
24,Transformed/Artocarpus Heterophyllus (Jackfruit)/1_135_0_0.jpg,0.0,0.0,0.6187184335382291,0.618718433538229,Artocarpus Heterophyllus (Jackfruit)
25,Transformed/Artocarpus Heterophyllus (Jackfruit)/1_135_1_0.jpg,0.375,0.0,0.9937184335382291,0.618718433538229,Artocarpus Heterophyllus (Jackfruit)
26,Transformed/Artocarpus Heterophyllus (Jackfruit)/1_135_0_1.jpg,0.0,0.38,0.6187184335382291,0.998718433538229,Artocarpus Heterophyllus (Jackfruit)
27,Transformed/Artocarpus Heterophyllus (Jackfruit)/1_135_1_1.jpg,0.375,0.38,0.9937184335382291,0.998718433538229,Artocarpus Heterophyllus (Jackfruit)
28,Transformed/Artocarpus Heterophyllus (Jackfruit)/1_157_0_0.jpg,0.0,0.0,0.540554884289302,0.6067765999096979,Artocarpus Heterophyllus (Jackfruit)
29,Transformed/Artocarpus Heterophyllus (Jackfruit)/1_157_1_0.jpg,0.455,0.0,0.9955548842893021,0.6067765999096979,Artocarpus Heterophyllus (Jackfruit)
30,Transformed/Artocarpus Heterophyllus (Jackfruit)/1_157_0_1.jpg,0.0,0.39,0.540554884289302,0.996776599909698,Artocarpus Heterophyllus (Jackfruit)
31,Transformed/Artocarpus Heterophyllus (Jackfruit)/1_157_1_1.jpg,0.455,0.39,0.9955548842893021,0.996776599909698,Artocarpus Heterophyllus (Jackfruit)
32,Transformed/Artocarpus Heterophyllus (Jackfruit)/1_180_0_0.jpg,0.0,0.0,0.375,0.5,Artocarpus Heterophyllus (Jackfruit)
33,Transformed/Artocarpus Heterophyllus (Jackfruit)/1_180_1_0.jpg,0.625,0.0,1.0,0.5,Artocarpus Heterophyllus (Jackfruit)
34,Transformed/Artocarpus Heterophyllus (Jackfruit)/1_180_0_1.jpg,0.0,0.5,0.375,1.0,Artocarpus Heterophyllus (Jackfruit)
35,Transformed/Artocarpus Heterophyllus (Jackfruit)/1_180_1_1.jpg,0.625,0.5,1.0,1.0,Artocarpus Heterophyllus (Jackfruit)
36,Transformed/Artocarpus Heterophyllus (Jackfruit)/1_202_0_0.jpg,0.0,0.0,0.5349972421705013,0.6040693998143607,Artocarpus Heterophyllus (Jackfruit)
37,Transformed/Artocarpus Heterophyllus (Jackfruit)/1_202_1_0.jpg,0.465,0.0,0.9999972421705013,0.6040693998143607,Artocarpus Heterophyllus (Jackfruit)
38,Transformed/Artocarpus Heterophyllus (Jackfruit)/1_202_0_1.jpg,0.0,0.39,0.5349972421705013,0.9940693998143607,Artocarpus Heterophyllus (Jackfruit)
39,Transformed/Artocarpus Heterophyllus (Jackfruit)/1_202_1_1.jpg,0.465,0.39,0.9999972421705013,0.9940693998143607,Artocarpus Heterophyllus (Jackfruit)
40,Transformed/Artocarpus Heterophyllus (Jackfruit)/1_225_0_0.jpg,0.0,0.0,0.6187184335382291,0.6187184335382292,Artocarpus Heterophyllus (Jackfruit)
41,Transformed/Artocarpus Heterophyllus (Jackfruit)/1_225_1_0.jpg,0.375,0.0,0.993718433538229,0.6187184335382292,Artocarpus Heterophyllus (Jackfruit)
42,Transformed/Artocarpus Heterophyllus (Jackfruit)/1_225_0_1.jpg,0.0,0.38,0.6187184335382291,0.9987184335382292,Artocarpus Heterophyllus (Jackfruit)
43,Transformed/Artocarpus Heterophyllus (Jackfruit)/1_225_1_1.jpg,0.375,0.38,0.993718433538229,0.9987184335382292,Artocarpus Heterophyllus (Jackfruit)
44,Transformed/Artocarpus Heterophyllus (Jackfruit)/1_247_0_0.jpg,0.0,0.0,0.6067765999096979,0.540554884289302,Artocarpus Heterophyllus (Jackfruit)
45,Transformed/Artocarpus Heterophyllus (Jackfruit)/1_247_1_0.jpg,0.385,0.0,0.9917765999096979,0.540554884289302,Artocarpus Heterophyllus (Jackfruit)
46,Transformed/Artocarpus Heterophyllus (Jackfruit)/1_247_0_1.jpg,0.0,0.45,0.6067765999096979,0.990554884289302,Artocarpus Heterophyllus (Jackfruit)
47,Transformed/Artocarpus Heterophyllus (Jackfruit)/1_247_1_1.jpg,0.385,0.45,0.9917765999096979,0.990554884289302,Artocarpus Heterophyllus (Jackfruit)
48,Transformed/Artocarpus Heterophyllus (Jackfruit)/1_270_0_0.jpg,0.0,0.0,0.5,0.5,Artocarpus Heterophyllus (Jackfruit)
49,Transformed/Artocarpus Heterophyllus (Jackfruit)/1_270_1_0.jpg,0.5,0.0,1.0,0.5,Artocarpus Heterophyllus (Jackfruit)
50,Transformed/Artocarpus Heterophyllus (Jackfruit)/1_270_0_1.jpg,0.0,0.625,0.5,1.125,Artocarpus Heterophyllus (Jackfruit)
51,Transformed/Artocarpus Heterophyllus (Jackfruit)/1_270_1_1.jpg,0.5,0.625,1.0,1.125,Artocarpus Heterophyllus (Jackfruit)
52,Transformed/Artocarpus Heterophyllus (Jackfruit)/1_292_0_0.jpg,0.0,0.0,0.6040693998143607,0.5349972421705013,Artocarpus Heterophyllus (Jackfruit)
