,Unnamed: 0,image_name,x0,y0,x1,y1,class
709,709,Transformed\Artocarpus Heterophyllus (Jackfruit)\train\19_157_1_0.jpg,0.39,0.0,0.996776599909698,0.540554884289302,Artocarpus Heterophyllus (Jackfruit)
692,692,Transformed\Artocarpus Heterophyllus (Jackfruit)\train\19_67_0_0.jpg,0.0,0.0,0.540554884289302,0.6067765999096979,Artocarpus Heterophyllus (Jackfruit)
3061,3061,Transformed\Artocarpus Heterophyllus (Jackfruit)\train\50_0_1_0.jpg,0.5,0.0,1.0,0.5,Artocarpus Heterophyllus (Jackfruit)
1818,1818,Transformed\Artocarpus Heterophyllus (Jackfruit)\train\33_270_0_1.jpg,0.0,0.5,0.5,1.0,Artocarpus Heterophyllus (Jackfruit)
2874,2874,Transformed\Artocarpus Heterophyllus (Jackfruit)\train\48_90_0_1.jpg,0.0,0.625,0.5,1.125,Artocarpus Heterophyllus (Jackfruit)
2830,2830,Transformed\Artocarpus Heterophyllus (Jackfruit)\train\47_225_0_1.jpg,0.0,0.375,0.6187184335382291,0.9937184335382292,Artocarpus Heterophyllus (Jackfruit)
1182,1182,Transformed\Artocarpus Heterophyllus (Jackfruit)\train\25_135_0_1.jpg,0.0,0.36,0.6363961030678928,0.9963961030678928,Artocarpus Heterophyllus (Jackfruit)
1099,1099,Transformed\Artocarpus Heterophyllus (Jackfruit)\train\24_45_1_1.jpg,0.4,0.405,0.9904341622907672,0.9954341622907672,Artocarpus Heterophyllus (Jackfruit)
1198,1198,Transformed\Artocarpus Heterophyllus (Jackfruit)\train\25_225_0_1.jpg,0.0,0.36,0.6363961030678928,0.9963961030678928,Artocarpus Heterophyllus (Jackfruit)
3058,3058,Transformed\Artocarpus Heterophyllus (Jackfruit)\train\5_360_0_1.jpg,0.0,0.57,0.5000000000000001,1.0000000000000002,Artocarpus Heterophyllus (Jackfruit)
1270,1270,Transformed\Artocarpus Heterophyllus (Jackfruit)\train\26_247_0_1.jpg,0.0,0.405,0.5037346901512044,0.9961473547701268,Artocarpus Heterophyllus (Jackfruit)
1711,1711,Transformed\Artocarpus Heterophyllus (Jackfruit)\train\32_45_1_1.jpg,0.38,0.375,0.9987184335382292,0.9937184335382292,Artocarpus Heterophyllus (Jackfruit)
2660,2660,Transformed\Artocarpus Heterophyllus (Jackfruit)\train\45_45_0_0.jpg,0.0,0.0,0.5904341622907673,0.5904341622907673,Artocarpus Heterophyllus (Jackfruit)
2879,2879,Transformed\Artocarpus Heterophyllus (Jackfruit)\train\48_112_1_1.jpg,0.395,0.46,0.9990693998143608,0.9949972421705012,Artocarpus Heterophyllus (Jackfruit)
