,image_name,x0,y0,x1,y1,class
0,Transformed/Blumea Balsamifera (Sambong)/1_0_0_0.jpg,0.0,0.0,0.5,0.375,Blumea Balsamifera (Sambong)
1,Transformed/Blumea Balsamifera (Sambong)/1_0_1_0.jpg,0.5,0.0,1.0,0.375,Blumea Balsamifera (Sambong)
2,Transformed/Blumea Balsamifera (Sambong)/1_0_0_1.jpg,0.0,0.625,0.5,1.0,Blumea Balsamifera (Sambong)
3,Transformed/Blumea Balsamifera (Sambong)/1_0_1_1.jpg,0.5,0.625,1.0,1.0,Blumea Balsamifera (Sambong)
4,Transformed/Blumea Balsamifera (Sambong)/1_22_0_0.jpg,0.0,0.0,0.6040693998143607,0.5349972421705013,Blumea Balsamifera (Sambong)
5,Transformed/Blumea Balsamifera (Sambong)/1_22_1_0.jpg,0.39,0.0,0.9940693998143607,0.5349972421705013,Blumea Balsamifera (Sambong)
6,Transformed/Blumea Balsamifera (Sambong)/1_22_0_1.jpg,0.0,0.465,0.6040693998143607,0.9999972421705013,Blumea Balsamifera (Sambong)
7,Transformed/Blumea Balsamifera (Sambong)/1_22_1_1.jpg,0.39,0.465,0.9940693998143607,0.9999972421705013,Blumea Balsamifera (Sambong)
8,Transformed/Blumea Balsamifera (Sambong)/1_45_0_0.jpg,0.0,0.0,0.6187184335382291,0.6187184335382291,Blumea Balsamifera (Sambong)
9,Transformed/Blumea Balsamifera (Sambong)/1_45_1_0.jpg,0.38,0.0,0.9987184335382291,0.6187184335382291,Blumea Balsamifera (Sambong)
10,Transformed/Blumea Balsamifera (Sambong)/1_45_0_1.jpg,0.0,0.375,0.6187184335382291,0.9937184335382291,Blumea Balsamifera (Sambong)
11,Transformed/Blumea Balsamifera (Sambong)/1_45_1_1.jpg,0.38,0.375,0.9987184335382291,0.9937184335382291,Blumea Balsamifera (Sambong)
12,Transformed/Blumea Balsamifera (Sambong)/1_67_0_0.jpg,0.0,0.0,0.540554884289302,0.6067765999096979,Blumea Balsamifera (Sambong)
13,Transformed/Blumea Balsamifera (Sambong)/1_67_1_0.jpg,0.45,0.0,0.990554884289302,0.6067765999096979,Blumea Balsamifera (Sambong)
14,Transformed/Blumea Balsamifera (Sambong)/1_67_0_1.jpg,0.0,0.385,0.540554884289302,0.9917765999096979,Blumea Balsamifera (Sambong)
15,Transformed/Blumea Balsamifera (Sambong)/1_67_1_1.jpg,0.45,0.385,0.990554884289302,0.9917765999096979,Blumea Balsamifera (Sambong)
16,Transformed/Blumea Balsamifera (Sambong)/1_90_0_0.jpg,0.0,0.0,0.5,0.5,Blumea Balsamifera (Sambong)
17,Transformed/Blumea Balsamifera (Sambong)/1_90_1_0.jpg,0.625,0.0,1.125,0.5,Blumea Balsamifera (Sambong)
18,Transformed/Blumea Balsamifera (Sambong)/1_90_0_1.jpg,0.0,0.5,0.5,1.0,Blumea Balsamifera (Sambong)
19,Transformed/Blumea Balsamifera (Sambong)/1_90_1_1.jpg,0.625,0.5,1.125,1.0,Blumea Balsamifera (Sambong)
20,Transformed/Blumea Balsamifera (Sambong)/1_112_0_0.jpg,0.0,0.0,0.5349972421705015,0.6040693998143607,Blumea Balsamifera (Sambong)
21,Transformed/Blumea Balsamifera (Sambong)/1_112_1_0.jpg,0.46,0.0,0.9949972421705015,0.6040693998143607,Blumea Balsamifera (Sambong)
22,Transformed/Blumea Balsamifera (Sambong)/1_112_0_1.jpg,0.0,0.395,0.5349972421705015,0.9990693998143607,Blumea Balsamifera (Sambong)
23,Transformed/Blumea Balsamifera (Sambong)/1_112_1_1.jpg,0.46,0.395,0.9949972421705015,0.9990693998143607,Blumea Balsamifera (Sambong)
24,Transformed/Blumea Balsamifera (Sambong)/1_135_0_0.jpg,0.0,0.0,0.6187184335382291,0.6187184335382291,Blumea Balsamifera (Sambong)
25,Transformed/Blumea Balsamifera (Sambong)/1_135_1_0.jpg,0.38,0.0,0.9987184335382291,0.6187184335382291,Blumea Balsamifera (Sambong)
26,Transformed/Blumea Balsamifera (Sambong)/1_135_0_1.jpg,0.0,0.375,0.6187184335382291,0.9937184335382291,Blumea Balsamifera (Sambong)
27,Transformed/Blumea Balsamifera (Sambong)/1_135_1_1.jpg,0.38,0.375,0.9987184335382291,0.9937184335382291,Blumea Balsamifera (Sambong)
28,Transformed/Blumea Balsamifera (Sambong)/1_157_0_0.jpg,0.0,0.0,0.6067765999096979,0.540554884289302,Blumea Balsamifera (Sambong)
29,Transformed/Blumea Balsamifera (Sambong)/1_157_1_0.jpg,0.39,0.0,0.996776599909698,0.540554884289302,Blumea Balsamifera (Sambong)
30,Transformed/Blumea Balsamifera (Sambong)/1_157_0_1.jpg,0.0,0.455,0.6067765999096979,0.9955548842893021,Blumea Balsamifera (Sambong)
31,Transformed/Blumea Balsamifera (Sambong)/1_157_1_1.jpg,0.39,0.455,0.996776599909698,0.9955548842893021,Blumea Balsamifera (Sambong)
32,Transformed/Blumea Balsamifera (Sambong)/1_180_0_0.jpg,0.0,0.0,0.5,0.375,Blumea Balsamifera (Sambong)
33,Transformed/Blumea Balsamifera (Sambong)/1_180_1_0.jpg,0.5,0.0,1.0,0.375,Blumea Balsamifera (Sambong)
34,Transformed/Blumea Balsamifera (Sambong)/1_180_0_1.jpg,0.0,0.625,0.5,1.0,Blumea Balsamifera (Sambong)
35,Transformed/Blumea Balsamifera (Sambong)/1_180_1_1.jpg,0.5,0.625,1.0,1.0,Blumea Balsamifera (Sambong)
36,Transformed/Blumea Balsamifera (Sambong)/1_202_0_0.jpg,0.0,0.0,0.6040693998143607,0.5349972421705013,Blumea Balsamifera (Sambong)
37,Transformed/Blumea Balsamifera (Sambong)/1_202_1_0.jpg,0.39,0.0,0.9940693998143607,0.5349972421705013,Blumea Balsamifera (Sambong)
38,Transformed/Blumea Balsamifera (Sambong)/1_202_0_1.jpg,0.0,0.465,0.6040693998143607,0.9999972421705013,Blumea Balsamifera (Sambong)
39,Transformed/Blumea Balsamifera (Sambong)/1_202_1_1.jpg,0.39,0.465,0.9940693998143607,0.9999972421705013,Blumea Balsamifera (Sambong)
40,Transformed/Blumea Balsamifera (Sambong)/1_225_0_0.jpg,0.0,0.0,0.6187184335382291,0.6187184335382291,Blumea Balsamifera (Sambong)
41,Transformed/Blumea Balsamifera (Sambong)/1_225_1_0.jpg,0.38,0.0,0.9987184335382291,0.6187184335382291,Blumea Balsamifera (Sambong)
42,Transformed/Blumea Balsamifera (Sambong)/1_225_0_1.jpg,0.0,0.375,0.6187184335382291,0.9937184335382291,Blumea Balsamifera (Sambong)
43,Transformed/Blumea Balsamifera (Sambong)/1_225_1_1.jpg,0.38,0.375,0.9987184335382291,0.9937184335382291,Blumea Balsamifera (Sambong)
44,Transformed/Blumea Balsamifera (Sambong)/1_247_0_0.jpg,0.0,0.0,0.540554884289302,0.6067765999096979,Blumea Balsamifera (Sambong)
45,Transformed/Blumea Balsamifera (Sambong)/1_247_1_0.jpg,0.45,0.0,0.990554884289302,0.6067765999096979,Blumea Balsamifera (Sambong)
46,Transformed/Blumea Balsamifera (Sambong)/1_247_0_1.jpg,0.0,0.385,0.540554884289302,0.9917765999096979,Blumea Balsamifera (Sambong)
47,Transformed/Blumea Balsamifera (Sambong)/1_247_1_1.jpg,0.45,0.385,0.990554884289302,0.9917765999096979,Blumea Balsamifera (Sambong)
