,Unnamed: 0,image_name,x0,y0,x1,y1,class
748,748,Transformed\Blumea Balsamifera (Sambong)\train\2_0_0_0.jpg,0.0,0.0,0.375,0.5,Blumea Balsamifera (Sambong)
2079,2079,Transformed\Blumea Balsamifera (Sambong)\train\37_202_1_1.jpg,0.41,0.495,0.9990851360777242,0.9929098879878298,Blumea Balsamifera (Sambong)
1413,1413,Transformed\Blumea Balsamifera (Sambong)\train\28_292_1_0.jpg,0.46,0.0,0.9949972421705012,0.6040693998143607,Blumea Balsamifera (Sambong)
2897,2897,Transformed\Blumea Balsamifera (Sambong)\train\48_225_1_0.jpg,0.375,0.0,0.993718433538229,0.6187184335382292,Blumea Balsamifera (Sambong)
2534,2534,Transformed\Blumea Balsamifera (Sambong)\train\43_90_0_1.jpg,0.0,0.665,0.5,1.165,Blumea Balsamifera (Sambong)
1338,1338,Transformed\Blumea Balsamifera (Sambong)\train\27_247_0_1.jpg,0.0,0.45,0.6067765999096979,0.990554884289302,Blumea Balsamifera (Sambong)
2150,2150,Transformed\Blumea Balsamifera (Sambong)\train\38.JPG_225_0_1.jpg,0.0,0.44,0.551543289325507,0.991543289325507,Blumea Balsamifera (Sambong)
276,276,Transformed\Blumea Balsamifera (Sambong)\train\13_22_0_0.jpg,0.0,0.0,0.5349972421705013,0.6040693998143607,Blumea Balsamifera (Sambong)
2315,2315,Transformed\Blumea Balsamifera (Sambong)\train\40_0_1_1.jpg,0.5,0.665,1.0,1.0,Blumea Balsamifera (Sambong)
536,536,Transformed\Blumea Balsamifera (Sambong)\train\16_337_0_0.jpg,0.0,0.0,0.5911473547701269,0.5037346901512045,Blumea Balsamifera (Sambong)
2436,2436,Transformed\Blumea Balsamifera (Sambong)\train\41_315_0_0.jpg,0.0,0.0,0.5515432893255071,0.551543289325507,Blumea Balsamifera (Sambong)
1106,1106,Transformed\Blumea Balsamifera (Sambong)\train\24_90_0_1.jpg,0.0,0.625,0.5,1.125,Blumea Balsamifera (Sambong)
373,373,Transformed\Blumea Balsamifera (Sambong)\train\14_180_1_0.jpg,0.55,0.0,1.0,0.5,Blumea Balsamifera (Sambong)
526,526,Transformed\Blumea Balsamifera (Sambong)\train\16_270_0_1.jpg,0.0,0.5,0.5,1.0,Blumea Balsamifera (Sambong)
1114,1114,Transformed\Blumea Balsamifera (Sambong)\train\24_135_0_1.jpg,0.0,0.38,0.6187184335382291,0.998718433538229,Blumea Balsamifera (Sambong)
2387,2387,Transformed\Blumea Balsamifera (Sambong)\train\41_22_1_1.jpg,0.55,0.43,0.9969147759866565,0.998481773439849,Blumea Balsamifera (Sambong)
1931,1931,Transformed\Blumea Balsamifera (Sambong)\train\35_135_1_1.jpg,0.38,0.375,0.9987184335382292,0.9937184335382292,Blumea Balsamifera (Sambong)
2295,2295,Transformed\Blumea Balsamifera (Sambong)\train\4_270_1_1.jpg,0.5,0.5,1.0,1.0000000000000002,Blumea Balsamifera (Sambong)
2403,2403,Transformed\Blumea Balsamifera (Sambong)\train\41_112_1_1.jpg,0.43,0.55,0.998481773439849,1.05,Blumea Balsamifera (Sambong)
2055,2055,Transformed\Blumea Balsamifera (Sambong)\train\37_67_1_1.jpg,0.49,0.405,0.9937346901512044,0.9961473547701268,Blumea Balsamifera (Sambong)
1898,1898,Transformed\Blumea Balsamifera (Sambong)\train\34_337_0_1.jpg,0.0,0.495,0.5911473547701269,0.9987346901512044,Blumea Balsamifera (Sambong)
3094,3094,Transformed\Blumea Balsamifera (Sambong)\train\50.JPG_180_0_1.jpg,0.0,0.625,0.5,1.0,Blumea Balsamifera (Sambong)
2755,2755,Transformed\Blumea Balsamifera (Sambong)\train\46_180_1_1.jpg,0.625,0.5,1.0,1.0,Blumea Balsamifera (Sambong)
3147,3147,Transformed\Blumea Balsamifera (Sambong)\train\51_90_1_1.jpg,0.67,0.5,1.17,1.0,Blumea Balsamifera (Sambong)
2720,2720,Transformed\Blumea Balsamifera (Sambong)\train\46_0_0_0.jpg,0.0,0.0,0.375,0.5,Blumea Balsamifera (Sambong)
1722,1722,Transformed\Blumea Balsamifera (Sambong)\train\32_112_0_1.jpg,0.0,0.46,0.6040693998143607,0.9949972421705012,Blumea Balsamifera (Sambong)
1875,1875,Transformed\Blumea Balsamifera (Sambong)\train\34_202_1_1.jpg,0.41,0.495,0.9990851360777242,0.9929098879878298,Blumea Balsamifera (Sambong)
2199,2199,Transformed\Blumea Balsamifera (Sambong)\train\39.JPG_112_1_1.jpg,0.34,0.34,0.9908952239913498,0.9908952239913498,Blumea Balsamifera (Sambong)
3420,3420,Transformed\Blumea Balsamifera (Sambong)\train\7_112_0_0.jpg,0.0,0.0,0.5684817734398491,0.5,Blumea Balsamifera (Sambong)
1310,1310,Transformed\Blumea Balsamifera (Sambong)\train\27_90_0_1.jpg,0.0,0.625,0.5,1.125,Blumea Balsamifera (Sambong)
2196,2196,Transformed\Blumea Balsamifera (Sambong)\train\39.JPG_112_0_0.jpg,0.0,0.0,0.6508952239913498,0.6508952239913498,Blumea Balsamifera (Sambong)
1258,1258,Transformed\Blumea Balsamifera (Sambong)\train\26_180_0_1.jpg,0.0,0.5,0.375,1.0,Blumea Balsamifera (Sambong)
1634,1634,Transformed\Blumea Balsamifera (Sambong)\train\31_0_0_1.jpg,0.0,0.625,0.5,1.0,Blumea Balsamifera (Sambong)
1896,1896,Transformed\Blumea Balsamifera (Sambong)\train\34_337_0_0.jpg,0.0,0.0,0.5911473547701269,0.5037346901512045,Blumea Balsamifera (Sambong)
400,400,Transformed\Blumea Balsamifera (Sambong)\train\14_337_0_0.jpg,0.0,0.0,0.609592748298235,0.6360814345463934,Blumea Balsamifera (Sambong)
3152,3152,Transformed\Blumea Balsamifera (Sambong)\train\51_135_0_0.jpg,0.0,0.0,0.5868986283848344,0.5868986283848343,Blumea Balsamifera (Sambong)
746,746,Transformed\Blumea Balsamifera (Sambong)\train\19_360_0_1.jpg,0.0,0.625,0.5000000000000001,1.0000000000000002,Blumea Balsamifera (Sambong)
535,535,Transformed\Blumea Balsamifera (Sambong)\train\16_315_1_1.jpg,0.4,0.405,0.9904341622907672,0.9954341622907672,Blumea Balsamifera (Sambong)
1305,1305,Transformed\Blumea Balsamifera (Sambong)\train\27_67_1_0.jpg,0.385,0.0,0.991776599909698,0.540554884289302,Blumea Balsamifera (Sambong)
1839,1839,Transformed\Blumea Balsamifera (Sambong)\train\34_0_1_1.jpg,0.5,0.665,1.0,1.0,Blumea Balsamifera (Sambong)
