,Unnamed: 0,image_name,x0,y0,x1,y1,class
723,723,Transformed\Citrus Limon (Lemon)\train\19_225_1_1.jpg,0.29,0.29,0.9971067811865476,0.9971067811865476,Citrus Limon (Lemon)
1879,1879,Transformed\Citrus Limon (Lemon)\train\35_225_1_1.jpg,0.29,0.29,0.9971067811865476,0.9971067811865476,Citrus Limon (Lemon)
907,907,Transformed\Citrus Limon (Lemon)\train\21_112_1_1.jpg,0.48,0.395,0.9964535650791656,0.9915772679460424,Citrus Limon (Lemon)
1309,1309,Transformed\Citrus Limon (Lemon)\train\28_90_1_0.jpg,0.665,0.0,1.165,0.5,Citrus Limon (Lemon)
3200,3200,Transformed\Citrus Limon (Lemon)\train\7_22_0_0.jpg,0.0,0.0,0.5965772679460425,0.5164535650791655,Citrus Limon (Lemon)
3045,3045,Transformed\Citrus Limon (Lemon)\train\50_292_1_0.jpg,0.5,0.0,1.0,0.5890851360777242,Citrus Limon (Lemon)
2319,2319,Transformed\Citrus Limon (Lemon)\train\41_22_1_1.jpg,0.43,0.55,0.998481773439849,0.9969147759866565,Citrus Limon (Lemon)
2772,2772,Transformed\Citrus Limon (Lemon)\train\47_292_0_0.jpg,0.0,0.0,0.5349972421705013,0.6040693998143607,Citrus Limon (Lemon)
3311,3311,Transformed\Citrus Limon (Lemon)\train\8_247_1_1.jpg,0.49,0.405,0.9937346901512044,0.9961473547701268,Citrus Limon (Lemon)
1239,1239,Transformed\Citrus Limon (Lemon)\train\27_67_1_1.jpg,0.45,0.385,0.990554884289302,0.991776599909698,Citrus Limon (Lemon)
742,742,Transformed\Citrus Limon (Lemon)\train\19_337_0_1.jpg,0.0,0.34,0.6556179909708572,0.9956179909708572,Citrus Limon (Lemon)
991,991,Transformed\Citrus Limon (Lemon)\train\23_202_1_1.jpg,0.41,0.495,0.9990851360777242,0.9929098879878298,Citrus Limon (Lemon)
188,188,Transformed\Citrus Limon (Lemon)\train\11_292_0_0.jpg,0.0,0.0,0.6508952239913498,0.6508952239913497,Citrus Limon (Lemon)
720,720,Transformed\Citrus Limon (Lemon)\train\19_225_0_0.jpg,0.0,0.0,0.7071067811865476,0.7071067811865476,Citrus Limon (Lemon)
429,429,Transformed\Citrus Limon (Lemon)\train\15_112_1_0.jpg,0.55,0.0,1.05,0.5684817734398491,Citrus Limon (Lemon)
253,253,Transformed\Citrus Limon (Lemon)\train\12_270_1_0.jpg,0.5,0.0,1.0,0.5000000000000001,Citrus Limon (Lemon)
460,460,Transformed\Citrus Limon (Lemon)\train\15_292_0_0.jpg,0.0,0.0,0.5,0.568481773439849,Citrus Limon (Lemon)
2095,2095,Transformed\Citrus Limon (Lemon)\train\38_292_1_1.jpg,0.55,0.43,1.05,0.998481773439849,Citrus Limon (Lemon)
833,833,Transformed\Citrus Limon (Lemon)\train\20_90_1_0.jpg,0.665,0.0,1.165,0.5,Citrus Limon (Lemon)
2382,2382,Transformed\Citrus Limon (Lemon)\train\42_0_0_1.jpg,0.0,0.735,0.5,1.0,Citrus Limon (Lemon)
1560,1560,Transformed\Citrus Limon (Lemon)\train\30_360_0_0.jpg,0.0,0.0,0.5,0.2650000000000001,Citrus Limon (Lemon)
424,424,Transformed\Citrus Limon (Lemon)\train\15_90_0_0.jpg,0.0,0.0,0.5,0.5,Citrus Limon (Lemon)
2177,2177,Transformed\Citrus Limon (Lemon)\train\4_0_1_0.jpg,0.5,0.0,1.0,0.5,Citrus Limon (Lemon)
2657,2657,Transformed\Citrus Limon (Lemon)\train\46_22_1_0.jpg,0.41,0.0,0.9990851360777242,0.4979098879878297,Citrus Limon (Lemon)
2851,2851,Transformed\Citrus Limon (Lemon)\train\48_337_1_1.jpg,0.39,0.455,0.996776599909698,0.995554884289302,Citrus Limon (Lemon)
1991,1991,Transformed\Citrus Limon (Lemon)\train\37_90_1_1.jpg,0.665,0.5,1.165,1.0,Citrus Limon (Lemon)
371,371,Transformed\Citrus Limon (Lemon)\train\14_157_1_1.jpg,0.43,0.545,0.9977034870607704,0.993504398944058,Citrus Limon (Lemon)
2748,2748,Transformed\Citrus Limon (Lemon)\train\47_157_0_0.jpg,0.0,0.0,0.6067765999096979,0.540554884289302,Citrus Limon (Lemon)
1582,1582,Transformed\Citrus Limon (Lemon)\train\31_90_0_1.jpg,0.0,0.5,0.5,1.0,Citrus Limon (Lemon)
3008,3008,Transformed\Citrus Limon (Lemon)\train\50_90_0_0.jpg,0.0,0.0,0.5,0.5,Citrus Limon (Lemon)
2618,2618,Transformed\Citrus Limon (Lemon)\train\45_180_0_1.jpg,0.0,0.625,0.5,1.0,Citrus Limon (Lemon)
2380,2380,Transformed\Citrus Limon (Lemon)\train\42_0_0_0.jpg,0.0,0.0,0.5,0.265,Citrus Limon (Lemon)
1028,1028,Transformed\Citrus Limon (Lemon)\train\24_45_0_0.jpg,0.0,0.0,0.6187184335382291,0.6187184335382291,Citrus Limon (Lemon)
2711,2711,Transformed\Citrus Limon (Lemon)\train\46_315_1_1.jpg,0.4,0.405,0.9904341622907672,0.9954341622907672,Citrus Limon (Lemon)
763,763,Transformed\Citrus Limon (Lemon)\train\2_67_1_1.jpg,0.45,0.385,0.990554884289302,0.991776599909698,Citrus Limon (Lemon)
3072,3072,Transformed\Citrus Limon (Lemon)\train\6_67_0_0.jpg,0.0,0.0,0.6556179909708569,0.6556179909708572,Citrus Limon (Lemon)
1295,1295,Transformed\Citrus Limon (Lemon)\train\28_0_1_1.jpg,0.5,0.665,1.0,1.0,Citrus Limon (Lemon)
1041,1041,Transformed\Citrus Limon (Lemon)\train\24_112_1_0.jpg,0.46,0.0,0.9949972421705016,0.6040693998143607,Citrus Limon (Lemon)
477,477,Transformed\Citrus Limon (Lemon)\train\16_0_1_0.jpg,0.5,0.0,1.0,0.5,Citrus Limon (Lemon)
2640,2640,Transformed\Citrus Limon (Lemon)\train\45_315_0_0.jpg,0.0,0.0,0.6187184335382291,0.6187184335382291,Citrus Limon (Lemon)
645,645,Transformed\Citrus Limon (Lemon)\train\18_180_1_0.jpg,0.5,0.0,1.0,0.5,Citrus Limon (Lemon)
2193,2193,Transformed\Citrus Limon (Lemon)\train\4_90_1_0.jpg,0.5,0.0,1.0,0.5,Citrus Limon (Lemon)
2677,2677,Transformed\Citrus Limon (Lemon)\train\46_135_1_0.jpg,0.4,0.0,0.9904341622907672,0.5904341622907672,Citrus Limon (Lemon)
2404,2404,Transformed\Citrus Limon (Lemon)\train\42_135_0_0.jpg,0.0,0.0,0.5409366876077089,0.5409366876077089,Citrus Limon (Lemon)
1997,1997,Transformed\Citrus Limon (Lemon)\train\37_135_1_0.jpg,0.4,0.0,0.9904341622907672,0.5904341622907672,Citrus Limon (Lemon)
2592,2592,Transformed\Citrus Limon (Lemon)\train\45_45_0_0.jpg,0.0,0.0,0.6187184335382291,0.6187184335382291,Citrus Limon (Lemon)
1173,1173,Transformed\Citrus Limon (Lemon)\train\26_90_1_0.jpg,0.665,0.0,1.165,0.5,Citrus Limon (Lemon)
2584,2584,Transformed\Citrus Limon (Lemon)\train\45_0_0_0.jpg,0.0,0.0,0.5,0.375,Citrus Limon (Lemon)
751,751,Transformed\Citrus Limon (Lemon)\train\2_0_1_1.jpg,0.5,0.625,1.0,1.0,Citrus Limon (Lemon)
2976,2976,Transformed\Citrus Limon (Lemon)\train\5_292_0_0.jpg,0.0,0.0,0.6508952239913498,0.6508952239913497,Citrus Limon (Lemon)
1575,1575,Transformed\Citrus Limon (Lemon)\train\31_45_1_1.jpg,0.41,0.41,0.9968986283848345,0.9968986283848345,Citrus Limon (Lemon)
3069,3069,Transformed\Citrus Limon (Lemon)\train\6_45_1_0.jpg,0.29,0.0,0.9971067811865476,0.7071067811865476,Citrus Limon (Lemon)
2875,2875,Transformed\Citrus Limon (Lemon)\train\49_90_1_1.jpg,0.665,0.5,1.165,1.0,Citrus Limon (Lemon)
1438,1438,Transformed\Citrus Limon (Lemon)\train\3_45_0_1.jpg,0.0,0.43,0.565685424949238,0.995685424949238,Citrus Limon (Lemon)
236,236,Transformed\Citrus Limon (Lemon)\train\12_180_0_0.jpg,0.0,0.0,0.5,0.5,Citrus Limon (Lemon)
2083,2083,Transformed\Citrus Limon (Lemon)\train\38_225_1_1.jpg,0.44,0.44,0.991543289325507,0.991543289325507,Citrus Limon (Lemon)
1373,1373,Transformed\Citrus Limon (Lemon)\train\29_67_1_0.jpg,0.49,0.0,0.9937346901512044,0.5911473547701269,Citrus Limon (Lemon)
268,268,Transformed\Citrus Limon (Lemon)\train\12_360_0_0.jpg,0.0,0.0,0.5000000000000001,0.5000000000000001,Citrus Limon (Lemon)
2327,2327,Transformed\Citrus Limon (Lemon)\train\41_67_1_1.jpg,0.54,0.43,1.04,0.9996571427032168,Citrus Limon (Lemon)
1670,1670,Transformed\Citrus Limon (Lemon)\train\32_202_0_1.jpg,0.0,0.55,0.5684817734398491,0.9969147759866565,Citrus Limon (Lemon)
2181,2181,Transformed\Citrus Limon (Lemon)\train\4_22_1_0.jpg,0.34,0.0,0.9908952239913495,0.6508952239913498,Citrus Limon (Lemon)
766,766,Transformed\Citrus Limon (Lemon)\train\2_90_0_1.jpg,0.0,0.5,0.5,1.0,Citrus Limon (Lemon)
1269,1269,Transformed\Citrus Limon (Lemon)\train\27_247_1_0.jpg,0.45,0.0,0.990554884289302,0.6067765999096979,Citrus Limon (Lemon)
3292,3292,Transformed\Citrus Limon (Lemon)\train\8_157_0_0.jpg,0.0,0.0,0.5911473547701269,0.5037346901512043,Citrus Limon (Lemon)
2343,2343,Transformed\Citrus Limon (Lemon)\train\41_157_1_1.jpg,0.43,0.54,0.9996571427032168,0.9931069232113202,Citrus Limon (Lemon)
1934,1934,Transformed\Citrus Limon (Lemon)\train\36_157_0_1.jpg,0.0,0.39,0.540554884289302,0.996776599909698,Citrus Limon (Lemon)
2928,2928,Transformed\Citrus Limon (Lemon)\train\5_22_0_0.jpg,0.0,0.0,0.6508952239913497,0.6508952239913498,Citrus Limon (Lemon)
71,71,Transformed\Citrus Limon (Lemon)\train\10_0_1_1.jpg,0.5,0.665,1.0,1.0,Citrus Limon (Lemon)
2190,2190,Transformed\Citrus Limon (Lemon)\train\4_67_0_1.jpg,0.0,0.34,0.6556179909708569,0.9956179909708572,Citrus Limon (Lemon)
2896,2896,Transformed\Citrus Limon (Lemon)\train\49_225_0_0.jpg,0.0,0.0,0.5904341622907672,0.5904341622907673,Citrus Limon (Lemon)
2409,2409,Transformed\Citrus Limon (Lemon)\train\42_157_1_0.jpg,0.43,0.0,0.9937961757758778,0.4392993504095335,Citrus Limon (Lemon)
950,950,Transformed\Citrus Limon (Lemon)\train\21_360_0_1.jpg,0.0,0.645,0.5000000000000001,1.0000000000000002,Citrus Limon (Lemon)
2474,2474,Transformed\Citrus Limon (Lemon)\train\43_135_0_1.jpg,0.0,0.375,0.6187184335382291,0.9937184335382292,Citrus Limon (Lemon)
3296,3296,Transformed\Citrus Limon (Lemon)\train\8_180_0_0.jpg,0.0,0.0,0.5,0.335,Citrus Limon (Lemon)
2749,2749,Transformed\Citrus Limon (Lemon)\train\47_157_1_0.jpg,0.39,0.0,0.996776599909698,0.540554884289302,Citrus Limon (Lemon)
3389,3389,Transformed\Citrus Limon (Lemon)\train\9_315_1_0.jpg,0.4,0.0,0.9904341622907672,0.5904341622907672,Citrus Limon (Lemon)
830,830,Transformed\Citrus Limon (Lemon)\train\20_67_0_1.jpg,0.0,0.405,0.5037346901512043,0.9961473547701268,Citrus Limon (Lemon)
2791,2791,Transformed\Citrus Limon (Lemon)\train\48_0_1_1.jpg,0.5,0.625,1.0,1.0,Citrus Limon (Lemon)
2032,2032,Transformed\Citrus Limon (Lemon)\train\37_337_0_0.jpg,0.0,0.0,0.5911473547701269,0.5037346901512045,Citrus Limon (Lemon)
202,202,Transformed\Citrus Limon (Lemon)\train\11_360_0_1.jpg,0.0,0.5,0.5000000000000001,1.0000000000000002,Citrus Limon (Lemon)
1928,1928,Transformed\Citrus Limon (Lemon)\train\36_135_0_0.jpg,0.0,0.0,0.6187184335382291,0.618718433538229,Citrus Limon (Lemon)
2246,2246,Transformed\Citrus Limon (Lemon)\train\40_0_0_1.jpg,0.0,0.625,0.5,1.0,Citrus Limon (Lemon)
2180,2180,Transformed\Citrus Limon (Lemon)\train\4_22_0_0.jpg,0.0,0.0,0.6508952239913497,0.6508952239913498,Citrus Limon (Lemon)
2789,2789,Transformed\Citrus Limon (Lemon)\train\48_0_1_0.jpg,0.5,0.0,1.0,0.375,Citrus Limon (Lemon)
2846,2846,Transformed\Citrus Limon (Lemon)\train\48_315_0_1.jpg,0.0,0.375,0.6187184335382291,0.993718433538229,Citrus Limon (Lemon)
3019,3019,Transformed\Citrus Limon (Lemon)\train\50_135_1_1.jpg,0.4,0.405,0.9904341622907672,0.9954341622907672,Citrus Limon (Lemon)
2206,2206,Transformed\Citrus Limon (Lemon)\train\4_157_0_1.jpg,0.0,0.34,0.6556179909708573,0.9956179909708572,Citrus Limon (Lemon)
