,Unnamed: 0,image_name,x0,y0,x1,y1,class
704,704,Transformed\Jasminum (Jasmine)\train\19_135_0_0.jpg,0.0,0.0,0.7071067811865476,0.7071067811865476,Jasminum (Jasmine)
1378,1378,Transformed\Jasminum (Jasmine)\train\28_90_0_1.jpg,0.0,0.5,0.5,1.0,Jasminum (Jasmine)
3197,3197,Transformed\Jasminum (Jasmine)\train\52_0_1_0.jpg,0.5,0.0,1.0,0.5,Jasminum (Jasmine)
2885,2885,Transformed\Jasminum (Jasmine)\train\48_157_1_0.jpg,0.34,0.0,0.9956179909708572,0.6556179909708573,Jasminum (Jasmine)
2005,2005,Transformed\Jasminum (Jasmine)\train\36_180_1_0.jpg,0.5,0.0,1.0,0.5,Jasminum (Jasmine)
1937,1937,Transformed\Jasminum (Jasmine)\train\35_180_1_0.jpg,0.5,0.0,1.0,0.5,Jasminum (Jasmine)
1775,1775,Transformed\Jasminum (Jasmine)\train\33_22_1_1.jpg,0.465,0.39,0.9999972421705012,0.9940693998143608,Jasminum (Jasmine)
118,118,Transformed\Jasminum (Jasmine)\train\10_270_0_1.jpg,0.0,0.5,0.5,1.0000000000000002,Jasminum (Jasmine)
255,255,Transformed\Jasminum (Jasmine)\train\12_270_1_1.jpg,0.5,0.655,1.0,1.155,Jasminum (Jasmine)
2571,2571,Transformed\Jasminum (Jasmine)\train\43_292_1_1.jpg,0.34,0.34,0.9908952239913498,0.9908952239913495,Jasminum (Jasmine)
1282,1282,Transformed\Jasminum (Jasmine)\train\26_315_0_1.jpg,0.0,0.38,0.6187184335382291,0.998718433538229,Jasminum (Jasmine)
2755,2755,Transformed\Jasminum (Jasmine)\train\46_180_1_1.jpg,0.5,0.665,1.0,1.0,Jasminum (Jasmine)
2522,2522,Transformed\Jasminum (Jasmine)\train\43_22_0_1.jpg,0.0,0.34,0.6508952239913497,0.9908952239913498,Jasminum (Jasmine)
1099,1099,Transformed\Jasminum (Jasmine)\train\24_45_1_1.jpg,0.39,0.395,0.9945762979144982,0.9995762979144982,Jasminum (Jasmine)
1792,1792,Transformed\Jasminum (Jasmine)\train\33_135_0_0.jpg,0.0,0.0,0.6187184335382291,0.618718433538229,Jasminum (Jasmine)
3098,3098,Transformed\Jasminum (Jasmine)\train\50_202_0_1.jpg,0.0,0.425,0.6190536635509971,0.9970845963531728,Jasminum (Jasmine)
942,942,Transformed\Jasminum (Jasmine)\train\21_315_0_1.jpg,0.0,0.455,0.5409366876077089,0.9959366876077088,Jasminum (Jasmine)
941,941,Transformed\Jasminum (Jasmine)\train\21_315_1_0.jpg,0.45,0.0,0.9909366876077088,0.540936687607709,Jasminum (Jasmine)
2136,2136,Transformed\Jasminum (Jasmine)\train\38_157_0_0.jpg,0.0,0.0,0.6067765999096979,0.540554884289302,Jasminum (Jasmine)
319,319,Transformed\Jasminum (Jasmine)\train\13_247_1_1.jpg,0.34,0.34,0.9956179909708572,0.995617990970857,Jasminum (Jasmine)
2739,2739,Transformed\Jasminum (Jasmine)\train\46_90_1_1.jpg,0.665,0.5,1.165,1.0,Jasminum (Jasmine)
2455,2455,Transformed\Jasminum (Jasmine)\train\42_22_1_1.jpg,0.34,0.34,0.9908952239913495,0.9908952239913498,Jasminum (Jasmine)
2870,2870,Transformed\Jasminum (Jasmine)\train\48_67_0_1.jpg,0.0,0.34,0.6556179909708569,0.9956179909708572,Jasminum (Jasmine)
222,222,Transformed\Jasminum (Jasmine)\train\12_90_0_1.jpg,0.0,0.655,0.5,1.155,Jasminum (Jasmine)
3058,3058,Transformed\Jasminum (Jasmine)\train\5_360_0_1.jpg,0.0,0.5,0.3750000000000001,1.0,Jasminum (Jasmine)
225,225,Transformed\Jasminum (Jasmine)\train\12_112_1_0.jpg,0.405,0.0,0.9978312020118834,0.5071817265334977,Jasminum (Jasmine)
454,454,Transformed\Jasminum (Jasmine)\train\15_247_0_1.jpg,0.0,0.405,0.5037346901512044,0.9961473547701268,Jasminum (Jasmine)
685,685,Transformed\Jasminum (Jasmine)\train\19_22_1_0.jpg,0.34,0.0,0.9908952239913495,0.6508952239913498,Jasminum (Jasmine)
2664,2664,Transformed\Jasminum (Jasmine)\train\45_67_0_0.jpg,0.0,0.0,0.6556179909708569,0.6556179909708572,Jasminum (Jasmine)
3385,3385,Transformed\Jasminum (Jasmine)\train\7_292_1_0.jpg,0.44,0.0,0.993540919261837,0.6115615316826789,Jasminum (Jasmine)
3350,3350,Transformed\Jasminum (Jasmine)\train\7_90_0_1.jpg,0.0,0.5,0.5,1.0,Jasminum (Jasmine)
1293,1293,Transformed\Jasminum (Jasmine)\train\27_0_1_0.jpg,0.5,0.0,1.0,0.5,Jasminum (Jasmine)
1048,1048,Transformed\Jasminum (Jasmine)\train\23_157_0_0.jpg,0.0,0.0,0.5911473547701269,0.5037346901512043,Jasminum (Jasmine)
1416,1416,Transformed\Jasminum (Jasmine)\train\28_315_0_0.jpg,0.0,0.0,0.7071067811865476,0.7071067811865476,Jasminum (Jasmine)
388,388,Transformed\Jasminum (Jasmine)\train\14_270_0_0.jpg,0.0,0.0,0.5,0.5,Jasminum (Jasmine)
540,540,Transformed\Jasminum (Jasmine)\train\16_360_0_0.jpg,0.0,0.0,0.5000000000000001,0.3050000000000001,Jasminum (Jasmine)
2132,2132,Transformed\Jasminum (Jasmine)\train\38_135_0_0.jpg,0.0,0.0,0.6187184335382291,0.6187184335382291,Jasminum (Jasmine)
3053,3053,Transformed\Jasminum (Jasmine)\train\5_337_1_0.jpg,0.455,0.0,0.995554884289302,0.6067765999096979,Jasminum (Jasmine)
2601,2601,Transformed\Jasminum (Jasmine)\train\44_90_1_0.jpg,0.5,0.0,1.0,0.5,Jasminum (Jasmine)
1252,1252,Transformed\Jasminum (Jasmine)\train\26_157_0_0.jpg,0.0,0.0,0.540554884289302,0.6067765999096979,Jasminum (Jasmine)
1244,1244,Transformed\Jasminum (Jasmine)\train\26_112_0_0.jpg,0.0,0.0,0.6040693998143607,0.5349972421705013,Jasminum (Jasmine)
3069,3069,Transformed\Jasminum (Jasmine)\train\50_45_1_0.jpg,0.35,0.0,0.9970027047856912,0.6470027047856911,Jasminum (Jasmine)
3249,3249,Transformed\Jasminum (Jasmine)\train\52_292_1_0.jpg,0.34,0.0,0.9908952239913498,0.6508952239913497,Jasminum (Jasmine)
2508,2508,Transformed\Jasminum (Jasmine)\train\42_337_0_0.jpg,0.0,0.0,0.6556179909708572,0.6556179909708572,Jasminum (Jasmine)
2918,2918,Transformed\Jasminum (Jasmine)\train\48_337_0_1.jpg,0.0,0.34,0.6556179909708572,0.9956179909708572,Jasminum (Jasmine)
2282,2282,Transformed\Jasminum (Jasmine)\train\4_202_0_1.jpg,0.0,0.465,0.6040693998143607,0.9999972421705012,Jasminum (Jasmine)
841,841,Transformed\Jasminum (Jasmine)\train\20_135_1_0.jpg,0.32,0.0,0.995286976033153,0.6752869760331529,Jasminum (Jasmine)
2656,2656,Transformed\Jasminum (Jasmine)\train\45_22_0_0.jpg,0.0,0.0,0.6508952239913497,0.6508952239913498,Jasminum (Jasmine)
1195,1195,Transformed\Jasminum (Jasmine)\train\25_202_1_1.jpg,0.465,0.39,0.9999972421705012,0.9940693998143608,Jasminum (Jasmine)
2363,2363,Transformed\Jasminum (Jasmine)\train\40_270_1_1.jpg,0.5,0.5,1.0,1.0000000000000002,Jasminum (Jasmine)
2338,2338,Transformed\Jasminum (Jasmine)\train\40_135_0_1.jpg,0.0,0.29,0.7071067811865476,0.9971067811865476,Jasminum (Jasmine)
2372,2372,Transformed\Jasminum (Jasmine)\train\40_337_0_0.jpg,0.0,0.0,0.6556179909708572,0.6556179909708572,Jasminum (Jasmine)
127,127,Transformed\Jasminum (Jasmine)\train\10_315_1_1.jpg,0.29,0.29,0.9971067811865476,0.9971067811865476,Jasminum (Jasmine)
2955,2955,Transformed\Jasminum (Jasmine)\train\49_157_1_1.jpg,0.34,0.34,0.9956179909708572,0.9956179909708572,Jasminum (Jasmine)
3229,3229,Transformed\Jasminum (Jasmine)\train\52_180_1_0.jpg,0.5,0.0,1.0,0.5,Jasminum (Jasmine)
589,589,Transformed\Jasminum (Jasmine)\train\17.JPG_247_1_0.jpg,0.385,0.0,0.991776599909698,0.540554884289302,Jasminum (Jasmine)
192,192,Transformed\Jasminum (Jasmine)\train\11_315_0_0.jpg,0.0,0.0,0.5586143571373726,0.5586143571373725,Jasminum (Jasmine)
1716,1716,Transformed\Jasminum (Jasmine)\train\32_90_0_0.jpg,0.0,0.0,0.5,0.5,Jasminum (Jasmine)
3438,3438,Transformed\Jasminum (Jasmine)\train\8_202_0_1.jpg,0.0,0.38,0.5674486770803387,0.9971806305839178,Jasminum (Jasmine)
3462,3462,Transformed\Jasminum (Jasmine)\train\8_337_0_1.jpg,0.0,0.37,0.5727725541601374,0.9904521894068224,Jasminum (Jasmine)
2410,2410,Transformed\Jasminum (Jasmine)\train\41_157_0_1.jpg,0.0,0.47,0.6009156329823588,0.9967473114875154,Jasminum (Jasmine)
1556,1556,Transformed\Jasminum (Jasmine)\train\3_337_0_0.jpg,0.0,0.0,0.6067765999096979,0.540554884289302,Jasminum (Jasmine)
169,169,Transformed\Jasminum (Jasmine)\train\11_180_1_0.jpg,0.5,0.0,1.0,0.2900000000000001,Jasminum (Jasmine)
1880,1880,Transformed\Jasminum (Jasmine)\train\34_247_0_0.jpg,0.0,0.0,0.540554884289302,0.6067765999096979,Jasminum (Jasmine)
2468,2468,Transformed\Jasminum (Jasmine)\train\42_112_0_0.jpg,0.0,0.0,0.6508952239913498,0.6508952239913498,Jasminum (Jasmine)
52,52,Transformed\Jasminum (Jasmine)\train\1_292_0_0.jpg,0.0,0.0,0.5349972421705013,0.6040693998143607,Jasminum (Jasmine)
3401,3401,Transformed\Jasminum (Jasmine)\train\8_0_1_0.jpg,0.59,0.0,1.0,0.5,Jasminum (Jasmine)
2414,2414,Transformed\Jasminum (Jasmine)\train\41_180_0_1.jpg,0.0,0.64,0.5,1.0,Jasminum (Jasmine)
733,733,Transformed\Jasminum (Jasmine)\train\19_292_1_0.jpg,0.34,0.0,0.9908952239913498,0.6508952239913497,Jasminum (Jasmine)
3409,3409,Transformed\Jasminum (Jasmine)\train\8_45_1_0.jpg,0.35,0.0,0.9934671708797584,0.6434671708797584,Jasminum (Jasmine)
444,444,Transformed\Jasminum (Jasmine)\train\15_202_0_0.jpg,0.0,0.0,0.5890851360777242,0.4979098879878297,Jasminum (Jasmine)
3181,3181,Transformed\Jasminum (Jasmine)\train\51_292_1_0.jpg,0.395,0.0,0.9990693998143608,0.5349972421705013,Jasminum (Jasmine)
1315,1315,Transformed\Jasminum (Jasmine)\train\27_112_1_1.jpg,0.34,0.34,0.9908952239913498,0.9908952239913498,Jasminum (Jasmine)
45,45,Transformed\Jasminum (Jasmine)\train\1_247_1_0.jpg,0.45,0.0,0.990554884289302,0.6067765999096979,Jasminum (Jasmine)
1877,1877,Transformed\Jasminum (Jasmine)\train\34_225_1_0.jpg,0.38,0.0,0.9987184335382292,0.6187184335382291,Jasminum (Jasmine)
366,366,Transformed\Jasminum (Jasmine)\train\14_135_0_1.jpg,0.0,0.405,0.5904341622907672,0.9954341622907672,Jasminum (Jasmine)
2325,2325,Transformed\Jasminum (Jasmine)\train\40_67_1_0.jpg,0.34,0.0,0.995617990970857,0.6556179909708572,Jasminum (Jasmine)
2341,2341,Transformed\Jasminum (Jasmine)\train\40_157_1_0.jpg,0.34,0.0,0.9956179909708572,0.6556179909708573,Jasminum (Jasmine)
846,846,Transformed\Jasminum (Jasmine)\train\20_157_0_1.jpg,0.0,0.385,0.6380350901888399,0.9991952725654974,Jasminum (Jasmine)
1895,1895,Transformed\Jasminum (Jasmine)\train\34_315_1_1.jpg,0.38,0.375,0.9987184335382292,0.993718433538229,Jasminum (Jasmine)
216,216,Transformed\Jasminum (Jasmine)\train\12_67_0_0.jpg,0.0,0.0,0.5950546660550197,0.5129397386857287,Jasminum (Jasmine)
2867,2867,Transformed\Jasminum (Jasmine)\train\48_45_1_1.jpg,0.29,0.29,0.9971067811865476,0.9971067811865476,Jasminum (Jasmine)
3020,3020,Transformed\Jasminum (Jasmine)\train\5_157_0_0.jpg,0.0,0.0,0.540554884289302,0.6067765999096979,Jasminum (Jasmine)
280,280,Transformed\Jasminum (Jasmine)\train\13_45_0_0.jpg,0.0,0.0,0.7071067811865476,0.7071067811865476,Jasminum (Jasmine)
