,image_name,x0,y0,x1,y1,class
0,Transformed/Mangifera Indica (Mango)/1_0_0_0.jpg,0.0,0.0,0.375,0.5,Mangifera Indica (Mango)
1,Transformed/Mangifera Indica (Mango)/1_0_1_0.jpg,0.625,0.0,1.0,0.5,Mangifera Indica (Mango)
2,Transformed/Mangifera Indica (Mango)/1_0_0_1.jpg,0.0,0.5,0.375,1.0,Mangifera Indica (Mango)
3,Transformed/Mangifera Indica (Mango)/1_0_1_1.jpg,0.625,0.5,1.0,1.0,Mangifera Indica (Mango)
4,Transformed/Mangifera Indica (Mango)/1_22_0_0.jpg,0.0,0.0,0.5349972421705013,0.6040693998143607,Mangifera Indica (Mango)
5,Transformed/Mangifera Indica (Mango)/1_22_1_0.jpg,0.465,0.0,0.9999972421705013,0.6040693998143607,Mangifera Indica (Mango)
6,Transformed/Mangifera Indica (Mango)/1_22_0_1.jpg,0.0,0.39,0.5349972421705013,0.9940693998143607,Mangifera Indica (Mango)
7,Transformed/Mangifera Indica (Mango)/1_22_1_1.jpg,0.465,0.39,0.9999972421705013,0.9940693998143607,Mangifera Indica (Mango)
8,Transformed/Mangifera Indica (Mango)/1_45_0_0.jpg,0.0,0.0,0.6187184335382291,0.6187184335382291,Mangifera Indica (Mango)
9,Transformed/Mangifera Indica (Mango)/1_45_1_0.jpg,0.375,0.0,0.9937184335382291,0.6187184335382291,Mangifera Indica (Mango)
10,Transformed/Mangifera Indica (Mango)/1_45_0_1.jpg,0.0,0.38,0.6187184335382291,0.9987184335382291,Mangifera Indica (Mango)
11,Transformed/Mangifera Indica (Mango)/1_45_1_1.jpg,0.375,0.38,0.9937184335382291,0.9987184335382291,Mangifera Indica (Mango)
12,Transformed/Mangifera Indica (Mango)/1_67_0_0.jpg,0.0,0.0,0.6067765999096979,0.540554884289302,Mangifera Indica (Mango)
13,Transformed/Mangifera Indica (Mango)/1_67_1_0.jpg,0.385,0.0,0.9917765999096979,0.540554884289302,Mangifera Indica (Mango)
14,Transformed/Mangifera Indica (Mango)/1_67_0_1.jpg,0.0,0.45,0.6067765999096979,0.990554884289302,Mangifera Indica (Mango)
15,Transformed/Mangifera Indica (Mango)/1_67_1_1.jpg,0.385,0.45,0.9917765999096979,0.990554884289302,Mangifera Indica (Mango)
16,Transformed/Mangifera Indica (Mango)/1_90_0_0.jpg,0.0,0.0,0.5,0.5,Mangifera Indica (Mango)
17,Transformed/Mangifera Indica (Mango)/1_90_1_0.jpg,0.5,0.0,1.0,0.5,Mangifera Indica (Mango)
18,Transformed/Mangifera Indica (Mango)/1_90_0_1.jpg,0.0,0.625,0.5,1.125,Mangifera Indica (Mango)
19,Transformed/Mangifera Indica (Mango)/1_90_1_1.jpg,0.5,0.625,1.0,1.125,Mangifera Indica (Mango)
20,Transformed/Mangifera Indica (Mango)/1_112_0_0.jpg,0.0,0.0,0.6040693998143607,0.5349972421705013,Mangifera Indica (Mango)
21,Transformed/Mangifera Indica (Mango)/1_112_1_0.jpg,0.395,0.0,0.9990693998143607,0.5349972421705013,Mangifera Indica (Mango)
22,Transformed/Mangifera Indica (Mango)/1_112_0_1.jpg,0.0,0.46,0.6040693998143607,0.9949972421705013,Mangifera Indica (Mango)
23,Transformed/Mangifera Indica (Mango)/1_112_1_1.jpg,0.395,0.46,0.9990693998143607,0.9949972421705013,Mangifera Indica (Mango)
24,Transformed/Mangifera Indica (Mango)/1_135_0_0.jpg,0.0,0.0,0.6187184335382291,0.618718433538229,Mangifera Indica (Mango)
25,Transformed/Mangifera Indica (Mango)/1_135_1_0.jpg,0.375,0.0,0.9937184335382291,0.618718433538229,Mangifera Indica (Mango)
26,Transformed/Mangifera Indica (Mango)/1_135_0_1.jpg,0.0,0.38,0.6187184335382291,0.998718433538229,Mangifera Indica (Mango)
27,Transformed/Mangifera Indica (Mango)/1_135_1_1.jpg,0.375,0.38,0.9937184335382291,0.998718433538229,Mangifera Indica (Mango)
28,Transformed/Mangifera Indica (Mango)/1_157_0_0.jpg,0.0,0.0,0.540554884289302,0.6067765999096979,Mangifera Indica (Mango)
29,Transformed/Mangifera Indica (Mango)/1_157_1_0.jpg,0.455,0.0,0.9955548842893021,0.6067765999096979,Mangifera Indica (Mango)
30,Transformed/Mangifera Indica (Mango)/1_157_0_1.jpg,0.0,0.39,0.540554884289302,0.996776599909698,Mangifera Indica (Mango)
31,Transformed/Mangifera Indica (Mango)/1_157_1_1.jpg,0.455,0.39,0.9955548842893021,0.996776599909698,Mangifera Indica (Mango)
32,Transformed/Mangifera Indica (Mango)/1_180_0_0.jpg,0.0,0.0,0.375,0.5,Mangifera Indica (Mango)
33,Transformed/Mangifera Indica (Mango)/1_180_1_0.jpg,0.625,0.0,1.0,0.5,Mangifera Indica (Mango)
34,Transformed/Mangifera Indica (Mango)/1_180_0_1.jpg,0.0,0.5,0.375,1.0,Mangifera Indica (Mango)
35,Transformed/Mangifera Indica (Mango)/1_180_1_1.jpg,0.625,0.5,1.0,1.0,Mangifera Indica (Mango)
36,Transformed/Mangifera Indica (Mango)/1_202_0_0.jpg,0.0,0.0,0.5349972421705013,0.6040693998143607,Mangifera Indica (Mango)
37,Transformed/Mangifera Indica (Mango)/1_202_1_0.jpg,0.465,0.0,0.9999972421705013,0.6040693998143607,Mangifera Indica (Mango)
38,Transformed/Mangifera Indica (Mango)/1_202_0_1.jpg,0.0,0.39,0.5349972421705013,0.9940693998143607,Mangifera Indica (Mango)
39,Transformed/Mangifera Indica (Mango)/1_202_1_1.jpg,0.465,0.39,0.9999972421705013,0.9940693998143607,Mangifera Indica (Mango)
40,Transformed/Mangifera Indica (Mango)/1_225_0_0.jpg,0.0,0.0,0.6187184335382291,0.6187184335382292,Mangifera Indica (Mango)
41,Transformed/Mangifera Indica (Mango)/1_225_1_0.jpg,0.375,0.0,0.993718433538229,0.6187184335382292,Mangifera Indica (Mango)
42,Transformed/Mangifera Indica (Mango)/1_225_0_1.jpg,0.0,0.38,0.6187184335382291,0.9987184335382292,Mangifera Indica (Mango)
43,Transformed/Mangifera Indica (Mango)/1_225_1_1.jpg,0.375,0.38,0.993718433538229,0.9987184335382292,Mangifera Indica (Mango)
44,Transformed/Mangifera Indica (Mango)/1_247_0_0.jpg,0.0,0.0,0.6067765999096979,0.540554884289302,Mangifera Indica (Mango)
45,Transformed/Mangifera Indica (Mango)/1_247_1_0.jpg,0.385,0.0,0.9917765999096979,0.540554884289302,Mangifera Indica (Mango)
46,Transformed/Mangifera Indica (Mango)/1_247_0_1.jpg,0.0,0.45,0.6067765999096979,0.990554884289302,Mangifera Indica (Mango)
47,Transformed/Mangifera Indica (Mango)/1_247_1_1.jpg,0.385,0.45,0.9917765999096979,0.990554884289302,Mangifera Indica (Mango)
48,Transformed/Mangifera Indica (Mango)/1_270_0_0.jpg,0.0,0.0,0.5,0.5,Mangifera Indica (Mango)
49,Transformed/Mangifera Indica (Mango)/1_270_1_0.jpg,0.5,0.0,1.0,0.5,Mangifera Indica (Mango)
50,Transformed/Mangifera Indica (Mango)/1_270_0_1.jpg,0.0,0.625,0.5,1.125,Mangifera Indica (Mango)
51,Transformed/Mangifera Indica (Mango)/1_270_1_1.jpg,0.5,0.625,1.0,1.125,Mangifera Indica (Mango)
52,Transformed/Mangifera Indica (Mango)/1_292_0_0.jpg,0.0,0.0,0.6040693998143607,0.5349972421705013,Mangifera Indica (Mango)
53,Transformed/Mangifera Indica (Mango)/1_292_1_0.jpg,0.395,0.0,0.9990693998143607,0.5349972421705013,Mangifera Indica (Mango)
54,Transformed/Mangifera Indica (Mango)/1_292_0_1.jpg,0.0,0.46,0.6040693998143607,0.9949972421705013,Mangifera Indica (Mango)
55,Transformed/Mangifera Indica (Mango)/1_292_1_1.jpg,0.395,0.46,0.9990693998143607,0.9949972421705013,Mangifera Indica (Mango)
56,Transformed/Mangifera Indica (Mango)/1_315_0_0.jpg,0.0,0.0,0.6187184335382291,0.6187184335382291,Mangifera Indica (Mango)
57,Transformed/Mangifera Indica (Mango)/1_315_1_0.jpg,0.375,0.0,0.993718433538229,0.6187184335382291,Mangifera Indica (Mango)
58,Transformed/Mangifera Indica (Mango)/1_315_0_1.jpg,0.0,0.38,0.6187184335382291,0.998718433538229,Mangifera Indica (Mango)
59,Transformed/Mangifera Indica (Mango)/1_315_1_1.jpg,0.375,0.38,0.993718433538229,0.998718433538229,Mangifera Indica (Mango)
60,Transformed/Mangifera Indica (Mango)/1_337_0_0.jpg,0.0,0.0,0.540554884289302,0.6067765999096979,Mangifera Indica (Mango)
61,Transformed/Mangifera Indica (Mango)/1_337_1_0.jpg,0.455,0.0,0.9955548842893021,0.6067765999096979,Mangifera Indica (Mango)
62,Transformed/Mangifera Indica (Mango)/1_337_0_1.jpg,0.0,0.39,0.540554884289302,0.9967765999096979,Mangifera Indica (Mango)
63,Transformed/Mangifera Indica (Mango)/1_337_1_1.jpg,0.455,0.39,0.9955548842893021,0.9967765999096979,Mangifera Indica (Mango)
64,Transformed/Mangifera Indica (Mango)/1_360_0_0.jpg,0.0,0.0,0.37500000000000017,0.5,Mangifera Indica (Mango)
65,Transformed/Mangifera Indica (Mango)/1_360_1_0.jpg,0.625,0.0,1.0000000000000002,0.5,Mangifera Indica (Mango)
66,Transformed/Mangifera Indica (Mango)/1_360_0_1.jpg,0.0,0.5,0.37500000000000017,1.0,Mangifera Indica (Mango)
67,Transformed/Mangifera Indica (Mango)/1_360_1_1.jpg,0.625,0.5,1.0000000000000002,1.0,Mangifera Indica (Mango)
68,Transformed/Mangifera Indica (Mango)/10_0_0_0.jpg,0.0,0.0,0.5,0.335,Mangifera Indica (Mango)
69,Transformed/Mangifera Indica (Mango)/10_0_1_0.jpg,0.5,0.0,1.0,0.335,Mangifera Indica (Mango)
70,Transformed/Mangifera Indica (Mango)/10_0_0_1.jpg,0.0,0.665,0.5,1.0,Mangifera Indica (Mango)
71,Transformed/Mangifera Indica (Mango)/10_0_1_1.jpg,0.5,0.665,1.0,1.0,Mangifera Indica (Mango)
72,Transformed/Mangifera Indica (Mango)/10_22_0_0.jpg,0.0,0.0,0.5890851360777242,0.49790988798782976,Mangifera Indica (Mango)
73,Transformed/Mangifera Indica (Mango)/10_22_1_0.jpg,0.41,0.0,0.9990851360777242,0.49790988798782976,Mangifera Indica (Mango)
74,Transformed/Mangifera Indica (Mango)/10_22_0_1.jpg,0.0,0.495,0.5890851360777242,0.9929098879878298,Mangifera Indica (Mango)
75,Transformed/Mangifera Indica (Mango)/10_22_1_1.jpg,0.41,0.495,0.9990851360777242,0.9929098879878298,Mangifera Indica (Mango)
76,Transformed/Mangifera Indica (Mango)/10_45_0_0.jpg,0.0,0.0,0.5904341622907673,0.5904341622907673,Mangifera Indica (Mango)
77,Transformed/Mangifera Indica (Mango)/10_45_1_0.jpg,0.4,0.0,0.9904341622907673,0.5904341622907673,Mangifera Indica (Mango)
78,Transformed/Mangifera Indica (Mango)/10_45_0_1.jpg,0.0,0.405,0.5904341622907673,0.9954341622907673,Mangifera Indica (Mango)
79,Transformed/Mangifera Indica (Mango)/10_45_1_1.jpg,0.4,0.405,0.9904341622907673,0.9954341622907673,Mangifera Indica (Mango)
80,Transformed/Mangifera Indica (Mango)/10_67_0_0.jpg,0.0,0.0,0.5037346901512043,0.5911473547701269,Mangifera Indica (Mango)
81,Transformed/Mangifera Indica (Mango)/10_67_1_0.jpg,0.49,0.0,0.9937346901512043,0.5911473547701269,Mangifera Indica (Mango)
82,Transformed/Mangifera Indica (Mango)/10_67_0_1.jpg,0.0,0.405,0.5037346901512043,0.9961473547701268,Mangifera Indica (Mango)
83,Transformed/Mangifera Indica (Mango)/10_67_1_1.jpg,0.49,0.405,0.9937346901512043,0.9961473547701268,Mangifera Indica (Mango)
84,Transformed/Mangifera Indica (Mango)/10_90_0_0.jpg,0.0,0.0,0.5,0.5,Mangifera Indica (Mango)
85,Transformed/Mangifera Indica (Mango)/10_90_1_0.jpg,0.665,0.0,1.165,0.5,Mangifera Indica (Mango)
86,Transformed/Mangifera Indica (Mango)/10_90_0_1.jpg,0.0,0.5,0.5,1.0,Mangifera Indica (Mango)
87,Transformed/Mangifera Indica (Mango)/10_90_1_1.jpg,0.665,0.5,1.165,1.0,Mangifera Indica (Mango)
88,Transformed/Mangifera Indica (Mango)/10_112_0_0.jpg,0.0,0.0,0.5,0.5890851360777242,Mangifera Indica (Mango)
89,Transformed/Mangifera Indica (Mango)/10_112_1_0.jpg,0.5,0.0,1.0,0.5890851360777242,Mangifera Indica (Mango)
90,Transformed/Mangifera Indica (Mango)/10_112_0_1.jpg,0.0,0.405,0.5,0.9940851360777242,Mangifera Indica (Mango)
91,Transformed/Mangifera Indica (Mango)/10_112_1_1.jpg,0.5,0.405,1.0,0.9940851360777242,Mangifera Indica (Mango)
92,Transformed/Mangifera Indica (Mango)/10_135_0_0.jpg,0.0,0.0,0.5904341622907672,0.5904341622907672,Mangifera Indica (Mango)
93,Transformed/Mangifera Indica (Mango)/10_135_1_0.jpg,0.4,0.0,0.9904341622907671,0.5904341622907672,Mangifera Indica (Mango)
94,Transformed/Mangifera Indica (Mango)/10_135_0_1.jpg,0.0,0.405,0.5904341622907672,0.9954341622907671,Mangifera Indica (Mango)
95,Transformed/Mangifera Indica (Mango)/10_135_1_1.jpg,0.4,0.405,0.9904341622907671,0.9954341622907671,Mangifera Indica (Mango)
