,Unnamed: 0,image_name,x0,y0,x1,y1,class
2781,2781,Transformed\Mangifera Indica (Mango)\train\46_337_1_0.jpg,0.41,0.0,0.991379076557895,0.4807220688148935,Mangifera Indica (Mango)
2548,2548,Transformed\Mangifera Indica (Mango)\train\43_180_0_0.jpg,0.0,0.0,0.5,0.335,Mangifera Indica (Mango)
83,83,Transformed\Mangifera Indica (Mango)\train\10_67_1_1.jpg,0.49,0.405,0.9937346901512044,0.9961473547701268,Mangifera Indica (Mango)
2974,2974,Transformed\Mangifera Indica (Mango)\train\49_270_0_1.jpg,0.0,0.625,0.5,1.125,Mangifera Indica (Mango)
325,325,Transformed\Mangifera Indica (Mango)\train\13_292_1_0.jpg,0.4,0.0,0.998450300913122,0.5210894843519995,Mangifera Indica (Mango)
3319,3319,Transformed\Mangifera Indica (Mango)\train\6_292_1_1.jpg,0.49,0.4,0.9925458072606635,0.9909581690448036,Mangifera Indica (Mango)
1738,1738,Transformed\Mangifera Indica (Mango)\train\32_202_0_1.jpg,0.0,0.56,0.5647357075056899,0.9976429374409886,Mangifera Indica (Mango)
1791,1791,Transformed\Mangifera Indica (Mango)\train\33.JPG_112_1_1.jpg,0.405,0.5,0.9940851360777242,1.0,Mangifera Indica (Mango)
1194,1194,Transformed\Mangifera Indica (Mango)\train\25_202_0_1.jpg,0.0,0.39,0.5349972421705013,0.9940693998143608,Mangifera Indica (Mango)
1798,1798,Transformed\Mangifera Indica (Mango)\train\33.JPG_157_0_1.jpg,0.0,0.4,0.5037346901512043,0.9911473547701268,Mangifera Indica (Mango)
809,809,Transformed\Mangifera Indica (Mango)\train\2_337_1_0.jpg,0.455,0.0,0.995554884289302,0.6067765999096979,Mangifera Indica (Mango)
1498,1498,Transformed\Mangifera Indica (Mango)\train\3_0_0_1.jpg,0.0,0.625,0.5,1.0,Mangifera Indica (Mango)
1831,1831,Transformed\Mangifera Indica (Mango)\train\33.JPG_337_1_1.jpg,0.495,0.4,0.9987346901512044,0.9911473547701268,Mangifera Indica (Mango)
1687,1687,Transformed\Mangifera Indica (Mango)\train\31_292_1_1.jpg,0.34,0.34,0.9908952239913498,0.9908952239913495,Mangifera Indica (Mango)
1126,1126,Transformed\Mangifera Indica (Mango)\train\24_202_0_1.jpg,0.0,0.465,0.6040693998143607,0.9999972421705012,Mangifera Indica (Mango)
232,232,Transformed\Mangifera Indica (Mango)\train\12_157_0_0.jpg,0.0,0.0,0.540554884289302,0.6067765999096979,Mangifera Indica (Mango)
865,865,Transformed\Mangifera Indica (Mango)\train\20_270_1_0.jpg,0.57,0.0,1.07,0.5000000000000001,Mangifera Indica (Mango)
1924,1924,Transformed\Mangifera Indica (Mango)\train\35_112_0_0.jpg,0.0,0.0,0.5890851360777242,0.5,Mangifera Indica (Mango)
2163,2163,Transformed\Mangifera Indica (Mango)\train\38_292_1_1.jpg,0.46,0.395,0.9949972421705012,0.9990693998143608,Mangifera Indica (Mango)
3247,3247,Transformed\Mangifera Indica (Mango)\train\52_270_1_1.jpg,0.5,0.67,1.0,1.17,Mangifera Indica (Mango)
2330,2330,Transformed\Mangifera Indica (Mango)\train\40_90_0_1.jpg,0.0,0.5,0.5,1.0,Mangifera Indica (Mango)
876,876,Transformed\Mangifera Indica (Mango)\train\20_337_0_0.jpg,0.0,0.0,0.6282668119766079,0.5911826512291863,Mangifera Indica (Mango)
2454,2454,Transformed\Mangifera Indica (Mango)\train\42_22_0_1.jpg,0.0,0.495,0.5890851360777242,0.9929098879878298,Mangifera Indica (Mango)
305,305,Transformed\Mangifera Indica (Mango)\train\13_180_1_0.jpg,0.64,0.0,1.0,0.5,Mangifera Indica (Mango)
3374,3374,Transformed\Mangifera Indica (Mango)\train\7_225_0_1.jpg,0.0,0.405,0.5904341622907672,0.9954341622907672,Mangifera Indica (Mango)
213,213,Transformed\Mangifera Indica (Mango)\train\12_45_1_0.jpg,0.375,0.0,0.9937184335382292,0.6187184335382291,Mangifera Indica (Mango)
2838,2838,Transformed\Mangifera Indica (Mango)\train\47_270_0_1.jpg,0.0,0.625,0.5,1.125,Mangifera Indica (Mango)
3415,3415,Transformed\Mangifera Indica (Mango)\train\8_67_1_1.jpg,0.45,0.385,0.990554884289302,0.991776599909698,Mangifera Indica (Mango)
221,221,Transformed\Mangifera Indica (Mango)\train\12_90_1_0.jpg,0.5,0.0,1.0,0.5,Mangifera Indica (Mango)
161,161,Transformed\Mangifera Indica (Mango)\train\11_135_1_0.jpg,0.4,0.0,0.9904341622907672,0.5904341622907672,Mangifera Indica (Mango)
1402,1402,Transformed\Mangifera Indica (Mango)\train\28_225_0_1.jpg,0.0,0.29,0.7071067811865476,0.9971067811865476,Mangifera Indica (Mango)
875,875,Transformed\Mangifera Indica (Mango)\train\20_315_1_1.jpg,0.34,0.34,0.9976093065034892,0.9976093065034892,Mangifera Indica (Mango)
1488,1488,Transformed\Mangifera Indica (Mango)\train\29_337_0_0.jpg,0.0,0.0,0.5891936991276805,0.4991321658839422,Mangifera Indica (Mango)
3257,3257,Transformed\Mangifera Indica (Mango)\train\52_337_1_0.jpg,0.5,0.0,0.9991321658839422,0.5891936991276805,Mangifera Indica (Mango)
338,338,Transformed\Mangifera Indica (Mango)\train\13_360_0_1.jpg,0.0,0.5,0.3600000000000001,1.0,Mangifera Indica (Mango)
1559,1559,Transformed\Mangifera Indica (Mango)\train\3_337_1_1.jpg,0.39,0.455,0.996776599909698,0.995554884289302,Mangifera Indica (Mango)
2227,2227,Transformed\Mangifera Indica (Mango)\train\39_270_1_1.jpg,0.5,0.625,1.0,1.125,Mangifera Indica (Mango)
1246,1246,Transformed\Mangifera Indica (Mango)\train\26_112_0_1.jpg,0.0,0.42,0.5,0.9997199712423264,Mangifera Indica (Mango)
1869,1869,Transformed\Mangifera Indica (Mango)\train\34_180_1_0.jpg,0.5,0.0,1.0,0.5,Mangifera Indica (Mango)
2013,2013,Transformed\Mangifera Indica (Mango)\train\36_225_1_0.jpg,0.37,0.0,0.9922539674441616,0.6222539674441618,Mangifera Indica (Mango)
2924,2924,Transformed\Mangifera Indica (Mango)\train\49_0_0_0.jpg,0.0,0.0,0.375,0.5,Mangifera Indica (Mango)
1181,1181,Transformed\Mangifera Indica (Mango)\train\25_135_1_0.jpg,0.375,0.0,0.9937184335382292,0.618718433538229,Mangifera Indica (Mango)
2673,2673,Transformed\Mangifera Indica (Mango)\train\45_112_1_0.jpg,0.365,0.0,0.9952918613534746,0.5999001119901766,Mangifera Indica (Mango)
1965,1965,Transformed\Mangifera Indica (Mango)\train\35_337_1_0.jpg,0.495,0.0,0.9987346901512044,0.5911473547701269,Mangifera Indica (Mango)
133,133,Transformed\Mangifera Indica (Mango)\train\10_360_1_0.jpg,0.5,0.0,1.0000000000000002,0.3350000000000001,Mangifera Indica (Mango)
2300,2300,Transformed\Mangifera Indica (Mango)\train\4_315_0_0.jpg,0.0,0.0,0.6187184335382291,0.6187184335382291,Mangifera Indica (Mango)
514,514,Transformed\Mangifera Indica (Mango)\train\16_202_0_1.jpg,0.0,0.49,0.5909581690448038,0.9925458072606635,Mangifera Indica (Mango)
1755,1755,Transformed\Mangifera Indica (Mango)\train\32_292_1_1.jpg,0.56,0.43,1.06,0.99473570750569,Mangifera Indica (Mango)
407,407,Transformed\Mangifera Indica (Mango)\train\14_360_1_1.jpg,0.5,0.65,1.0000000000000002,1.0000000000000002,Mangifera Indica (Mango)
1228,1228,Transformed\Mangifera Indica (Mango)\train\26_22_0_0.jpg,0.0,0.0,0.5797199712423264,0.47473029162366,Mangifera Indica (Mango)
893,893,Transformed\Mangifera Indica (Mango)\train\21_45_1_0.jpg,0.41,0.0,0.9968986283848345,0.5868986283848345,Mangifera Indica (Mango)
2153,2153,Transformed\Mangifera Indica (Mango)\train\38_247_1_0.jpg,0.45,0.0,0.990554884289302,0.6067765999096979,Mangifera Indica (Mango)
