,Unnamed: 0,image_name,x0,y0,x1,y1,class
72,72,Transformed\Mentha (Mint)\train\10_22_0_0.jpg,0.0,0.0,0.4979098879878297,0.5890851360777242,Mentha (Mint)
74,74,Transformed\Mentha (Mint)\train\10_22_0_1.jpg,0.0,0.41,0.4979098879878297,0.9990851360777242,Mentha (Mint)
3133,3133,Transformed\Mentha (Mint)\train\6_22_1_0.jpg,0.41,0.0,0.9990851360777242,0.4979098879878297,Mentha (Mint)
247,247,Transformed\Mentha (Mint)\train\12_225_1_1.jpg,0.39,0.39,0.998111831820431,0.998111831820431,Mentha (Mint)
444,444,Transformed\Mentha (Mint)\train\15_202_0_0.jpg,0.0,0.0,0.6508952239913497,0.6508952239913498,Mentha (Mint)
232,232,Transformed\Mentha (Mint)\train\12_157_0_0.jpg,0.0,0.0,0.6009156329823588,0.5267473114875153,Mentha (Mint)
1129,1129,Transformed\Mentha (Mint)\train\24_225_1_0.jpg,0.38,0.0,0.9987184335382292,0.6187184335382291,Mentha (Mint)
735,735,Transformed\Mentha (Mint)\train\19_292_1_1.jpg,0.44,0.38,0.9981768385346708,0.9934345646497584,Mentha (Mint)
1029,1029,Transformed\Mentha (Mint)\train\23_45_1_0.jpg,0.4,0.0,0.9904341622907672,0.5904341622907673,Mentha (Mint)
1636,1636,Transformed\Mentha (Mint)\train\31_22_0_0.jpg,0.0,0.0,0.6416233854456819,0.6471491580571908,Mentha (Mint)
689,689,Transformed\Mentha (Mint)\train\19_45_1_0.jpg,0.36,0.0,0.9963961030678928,0.6363961030678928,Mentha (Mint)
1990,1990,Transformed\Mentha (Mint)\train\36_90_0_1.jpg,0.0,0.5,0.5,1.0,Mentha (Mint)
740,740,Transformed\Mentha (Mint)\train\19_337_0_0.jpg,0.0,0.0,0.6165448781219297,0.563567505625613,Mentha (Mint)
601,601,Transformed\Mentha (Mint)\train\17_315_1_0.jpg,0.4,0.0,0.9904341622907672,0.5904341622907672,Mentha (Mint)
100,100,Transformed\Mentha (Mint)\train\10_180_0_0.jpg,0.0,0.0,0.335,0.5,Mentha (Mint)
1093,1093,Transformed\Mentha (Mint)\train\24_22_1_0.jpg,0.39,0.0,0.9940693998143608,0.5349972421705013,Mentha (Mint)
1861,1861,Transformed\Mentha (Mint)\train\34_135_1_0.jpg,0.375,0.0,0.9937184335382292,0.618718433538229,Mentha (Mint)
695,695,Transformed\Mentha (Mint)\train\19_67_1_1.jpg,0.43,0.38,0.993567505625613,0.9965448781219296,Mentha (Mint)
626,626,Transformed\Mentha (Mint)\train\18_67_0_1.jpg,0.0,0.405,0.5037346901512043,0.9961473547701268,Mentha (Mint)
2721,2721,Transformed\Mentha (Mint)\train\46_0_1_0.jpg,0.5,0.0,1.0,0.5,Mentha (Mint)
1608,1608,Transformed\Mentha (Mint)\train\30_247_0_0.jpg,0.0,0.0,0.6556179909708572,0.6556179909708569,Mentha (Mint)
817,817,Transformed\Mentha (Mint)\train\20_0_1_0.jpg,0.5,0.0,1.0,0.335,Mentha (Mint)
558,558,Transformed\Mentha (Mint)\train\17_67_0_1.jpg,0.0,0.405,0.5037346901512043,0.9961473547701268,Mentha (Mint)
3037,3037,Transformed\Mentha (Mint)\train\5_247_1_0.jpg,0.43,0.0,0.993567505625613,0.6165448781219297,Mentha (Mint)
912,912,Transformed\Mentha (Mint)\train\21_157_0_0.jpg,0.0,0.0,0.6067765999096979,0.540554884289302,Mentha (Mint)
1657,1657,Transformed\Mentha (Mint)\train\31_135_1_0.jpg,0.29,0.0,0.990035713374682,0.7000357133746821,Mentha (Mint)
27,27,Transformed\Mentha (Mint)\train\1_135_1_1.jpg,0.38,0.375,0.9987184335382292,0.9937184335382292,Mentha (Mint)
2551,2551,Transformed\Mentha (Mint)\train\43_180_1_1.jpg,0.5,0.5,1.0,1.0,Mentha (Mint)
3329,3329,Transformed\Mentha (Mint)\train\9_360_1_0.jpg,0.615,0.0,1.0000000000000002,0.5,Mentha (Mint)
1412,1412,Transformed\Mentha (Mint)\train\28_292_0_0.jpg,0.0,0.0,0.5,0.5890851360777242,Mentha (Mint)
1713,1713,Transformed\Mentha (Mint)\train\32_67_1_0.jpg,0.49,0.0,0.9937346901512044,0.5911473547701269,Mentha (Mint)
1486,1486,Transformed\Mentha (Mint)\train\29_315_0_1.jpg,0.0,0.29,0.7071067811865476,0.9971067811865476,Mentha (Mint)
759,759,Transformed\Mentha (Mint)\train\2_45_1_1.jpg,0.4,0.405,0.9904341622907672,0.9954341622907672,Mentha (Mint)
3051,3051,Transformed\Mentha (Mint)\train\5_315_1_1.jpg,0.36,0.36,0.9963961030678928,0.9963961030678928,Mentha (Mint)
1206,1206,Transformed\Mentha (Mint)\train\25_270_0_1.jpg,0.0,0.5,0.5,1.0000000000000002,Mentha (Mint)
2121,2121,Transformed\Mentha (Mint)\train\38_67_1_0.jpg,0.34,0.0,0.995617990970857,0.6556179909708572,Mentha (Mint)
1067,1067,Transformed\Mentha (Mint)\train\23_247_1_1.jpg,0.49,0.405,0.9937346901512044,0.9961473547701268,Mentha (Mint)
2513,2513,Transformed\Mentha (Mint)\train\42_360_1_0.jpg,0.5,0.0,1.0000000000000002,0.3350000000000001,Mentha (Mint)
2188,2188,Transformed\Mentha (Mint)\train\39_67_0_0.jpg,0.0,0.0,0.5037346901512043,0.5911473547701269,Mentha (Mint)
2548,2548,Transformed\Mentha (Mint)\train\43_180_0_0.jpg,0.0,0.0,0.5,0.5,Mentha (Mint)
2478,2478,Transformed\Mentha (Mint)\train\42_157_0_1.jpg,0.0,0.495,0.5911473547701269,0.9987346901512044,Mentha (Mint)
523,523,Transformed\Mentha (Mint)\train\16_247_1_1.jpg,0.34,0.34,0.9956179909708572,0.995617990970857,Mentha (Mint)
2281,2281,Transformed\Mentha (Mint)\train\4_202_1_0.jpg,0.41,0.0,0.9990851360777242,0.4979098879878297,Mentha (Mint)
1254,1254,Transformed\Mentha (Mint)\train\26_157_0_1.jpg,0.0,0.54,0.5696571427032169,0.9931069232113202,Mentha (Mint)
2879,2879,Transformed\Mentha (Mint)\train\48_112_1_1.jpg,0.5,0.405,1.0,0.9940851360777242,Mentha (Mint)
2186,2186,Transformed\Mentha (Mint)\train\39_45_0_1.jpg,0.0,0.405,0.5904341622907673,0.9954341622907672,Mentha (Mint)
3267,3267,Transformed\Mentha (Mint)\train\9_0_1_1.jpg,0.615,0.5,1.0,1.0,Mentha (Mint)
721,721,Transformed\Mentha (Mint)\train\19_225_1_0.jpg,0.36,0.0,0.9963961030678928,0.6363961030678928,Mentha (Mint)
797,797,Transformed\Mentha (Mint)\train\2_270_1_0.jpg,0.665,0.0,1.165,0.5,Mentha (Mint)
2521,2521,Transformed\Mentha (Mint)\train\43_22_1_0.jpg,0.34,0.0,0.9908952239913495,0.6508952239913498,Mentha (Mint)
451,451,Transformed\Mentha (Mint)\train\15_225_1_1.jpg,0.29,0.29,0.9971067811865476,0.9971067811865476,Mentha (Mint)
1940,1940,Transformed\Mentha (Mint)\train\35_202_0_0.jpg,0.0,0.0,0.5965772679460425,0.5164535650791655,Mentha (Mint)
2374,2374,Transformed\Mentha (Mint)\train\40_337_0_1.jpg,0.0,0.34,0.6556179909708572,0.9956179909708572,Mentha (Mint)
1309,1309,Transformed\Mentha (Mint)\train\27_90_1_0.jpg,0.5,0.0,1.0,0.5,Mentha (Mint)
2889,2889,Transformed\Mentha (Mint)\train\48_180_1_0.jpg,0.5,0.0,1.0,0.335,Mentha (Mint)
659,659,Transformed\Mentha (Mint)\train\18_247_1_1.jpg,0.49,0.405,0.9937346901512044,0.9961473547701268,Mentha (Mint)
254,254,Transformed\Mentha (Mint)\train\12_270_0_1.jpg,0.0,0.5,0.5,1.0,Mentha (Mint)
869,869,Transformed\Mentha (Mint)\train\20_292_1_0.jpg,0.5,0.0,1.0,0.5890851360777242,Mentha (Mint)
2703,2703,Transformed\Mentha (Mint)\train\45_270_1_1.jpg,0.5,0.5,1.0,1.0000000000000002,Mentha (Mint)
1684,1684,Transformed\Mentha (Mint)\train\31_292_0_0.jpg,0.0,0.0,0.6471491580571904,0.6416233854456819,Mentha (Mint)
157,157,Transformed\Mentha (Mint)\train\11_112_1_0.jpg,0.44,0.0,0.9935409192618372,0.6115615316826789,Mentha (Mint)
2880,2880,Transformed\Mentha (Mint)\train\48_135_0_0.jpg,0.0,0.0,0.5904341622907672,0.5904341622907672,Mentha (Mint)
1460,1460,Transformed\Mentha (Mint)\train\29_180_0_0.jpg,0.0,0.0,0.5,0.5,Mentha (Mint)
308,308,Transformed\Mentha (Mint)\train\13_202_0_0.jpg,0.0,0.0,0.5890851360777242,0.4979098879878297,Mentha (Mint)
1972,1972,Transformed\Mentha (Mint)\train\36_0_0_0.jpg,0.0,0.0,0.5,0.5,Mentha (Mint)
92,92,Transformed\Mentha (Mint)\train\10_135_0_0.jpg,0.0,0.0,0.5904341622907672,0.5904341622907672,Mentha (Mint)
1829,1829,Transformed\Mentha (Mint)\train\33_337_1_0.jpg,0.4,0.0,0.9911473547701268,0.5037346901512045,Mentha (Mint)
1949,1949,Transformed\Mentha (Mint)\train\35_247_1_0.jpg,0.47,0.0,0.9921447872202532,0.5989619773399123,Mentha (Mint)
1238,1238,Transformed\Mentha (Mint)\train\26_67_0_1.jpg,0.0,0.43,0.5,0.9996571427032168,Mentha (Mint)
2416,2416,Transformed\Mentha (Mint)\train\41_202_0_0.jpg,0.0,0.0,0.5396331614433352,0.6059424327814403,Mentha (Mint)
2749,2749,Transformed\Mentha (Mint)\train\46_157_1_0.jpg,0.34,0.0,0.9956179909708572,0.6556179909708573,Mentha (Mint)
1011,1011,Transformed\Mentha (Mint)\train\22_315_1_1.jpg,0.29,0.29,0.9971067811865476,0.9971067811865476,Mentha (Mint)
3216,3216,Transformed\Mentha (Mint)\train\8_112_0_0.jpg,0.0,0.0,0.5349972421705015,0.6040693998143607,Mentha (Mint)
2695,2695,Transformed\Mentha (Mint)\train\45_225_1_1.jpg,0.29,0.29,0.9971067811865476,0.9971067811865476,Mentha (Mint)
2427,2427,Transformed\Mentha (Mint)\train\41_247_1_1.jpg,0.39,0.45,0.998730255552144,0.9951574085565642,Mentha (Mint)
886,886,Transformed\Mentha (Mint)\train\21_0_0_1.jpg,0.0,0.625,0.5,1.0,Mentha (Mint)
2919,2919,Transformed\Mentha (Mint)\train\48_337_1_1.jpg,0.4,0.495,0.9911473547701268,0.9987346901512044,Mentha (Mint)
1332,1332,Transformed\Mentha (Mint)\train\27_225_0_0.jpg,0.0,0.0,0.7071067811865476,0.7071067811865476,Mentha (Mint)
98,98,Transformed\Mentha (Mint)\train\10_157_0_1.jpg,0.0,0.4,0.5037346901512043,0.9911473547701268,Mentha (Mint)
514,514,Transformed\Mentha (Mint)\train\16_202_0_1.jpg,0.0,0.34,0.6508952239913497,0.9908952239913498,Mentha (Mint)
1643,1643,Transformed\Mentha (Mint)\train\31_45_1_1.jpg,0.29,0.29,0.990035713374682,0.990035713374682,Mentha (Mint)
1781,1781,Transformed\Mentha (Mint)\train\33_67_1_0.jpg,0.49,0.0,0.9937346901512044,0.5911473547701269,Mentha (Mint)
3223,3223,Transformed\Mentha (Mint)\train\8_135_1_1.jpg,0.38,0.375,0.9987184335382292,0.9937184335382292,Mentha (Mint)
991,991,Transformed\Mentha (Mint)\train\22_202_1_1.jpg,0.34,0.34,0.9908952239913495,0.9908952239913498,Mentha (Mint)
268,268,Transformed\Mentha (Mint)\train\12_360_0_0.jpg,0.0,0.0,0.5000000000000001,0.3600000000000001,Mentha (Mint)
2172,2172,Transformed\Mentha (Mint)\train\38_360_0_0.jpg,0.0,0.0,0.5000000000000001,0.5000000000000001,Mentha (Mint)
1888,1888,Transformed\Mentha (Mint)\train\34_292_0_0.jpg,0.0,0.0,0.6040693998143607,0.5349972421705013,Mentha (Mint)
2509,2509,Transformed\Mentha (Mint)\train\42_337_1_0.jpg,0.4,0.0,0.9911473547701268,0.5037346901512045,Mentha (Mint)
2972,2972,Transformed\Mentha (Mint)\train\49_270_0_0.jpg,0.0,0.0,0.5,0.5,Mentha (Mint)
3115,3115,Transformed\Mentha (Mint)\train\50_292_1_1.jpg,0.44,0.38,0.9981768385346708,0.9934345646497584,Mentha (Mint)
1280,1280,Transformed\Mentha (Mint)\train\26_315_0_0.jpg,0.0,0.0,0.5515432893255071,0.5515432893255071,Mentha (Mint)
1295,1295,Transformed\Mentha (Mint)\train\27_0_1_1.jpg,0.5,0.5,1.0,1.0,Mentha (Mint)
1068,1068,Transformed\Mentha (Mint)\train\23_270_0_0.jpg,0.0,0.0,0.5,0.5,Mentha (Mint)
3141,3141,Transformed\Mentha (Mint)\train\6_67_1_0.jpg,0.49,0.0,0.9937346901512044,0.5911473547701269,Mentha (Mint)
3200,3200,Transformed\Mentha (Mint)\train\8_22_0_0.jpg,0.0,0.0,0.6040693998143607,0.5349972421705013,Mentha (Mint)
1989,1989,Transformed\Mentha (Mint)\train\36_90_1_0.jpg,0.5,0.0,1.0,0.5,Mentha (Mint)
3075,3075,Transformed\Mentha (Mint)\train\50_67_1_1.jpg,0.43,0.38,0.993567505625613,0.9965448781219296,Mentha (Mint)
2555,2555,Transformed\Mentha (Mint)\train\43_202_1_1.jpg,0.34,0.34,0.9908952239913495,0.9908952239913498,Mentha (Mint)
1979,1979,Transformed\Mentha (Mint)\train\36_22_1_1.jpg,0.34,0.34,0.9908952239913495,0.9908952239913498,Mentha (Mint)
765,765,Transformed\Mentha (Mint)\train\2_90_1_0.jpg,0.665,0.0,1.165,0.5,Mentha (Mint)
2835,2835,Transformed\Mentha (Mint)\train\47_247_1_1.jpg,0.55,0.425,1.05,0.9927034870607704,Mentha (Mint)
2486,2486,Transformed\Mentha (Mint)\train\42_202_0_1.jpg,0.0,0.495,0.5890851360777242,0.9929098879878298,Mentha (Mint)
678,678,Transformed\Mentha (Mint)\train\18_360_0_1.jpg,0.0,0.665,0.5000000000000001,1.0000000000000002,Mentha (Mint)
2869,2869,Transformed\Mentha (Mint)\train\48_67_1_0.jpg,0.49,0.0,0.9937346901512044,0.5911473547701269,Mentha (Mint)
2167,2167,Transformed\Mentha (Mint)\train\38_315_1_1.jpg,0.29,0.29,0.9971067811865476,0.9971067811865476,Mentha (Mint)
863,863,Transformed\Mentha (Mint)\train\20_247_1_1.jpg,0.49,0.405,0.9937346901512044,0.9961473547701268,Mentha (Mint)
2366,2366,Transformed\Mentha (Mint)\train\40_292_0_1.jpg,0.0,0.34,0.6508952239913498,0.9908952239913495,Mentha (Mint)
2240,2240,Transformed\Mentha (Mint)\train\39_360_0_0.jpg,0.0,0.0,0.5000000000000001,0.3350000000000001,Mentha (Mint)
2357,2357,Transformed\Mentha (Mint)\train\40_247_1_0.jpg,0.34,0.0,0.9956179909708572,0.6556179909708569,Mentha (Mint)
1056,1056,Transformed\Mentha (Mint)\train\23_202_0_0.jpg,0.0,0.0,0.5890851360777242,0.4979098879878297,Mentha (Mint)
207,207,Transformed\Mentha (Mint)\train\12_0_1_1.jpg,0.5,0.64,1.0,1.0,Mentha (Mint)
915,915,Transformed\Mentha (Mint)\train\21_157_1_1.jpg,0.39,0.455,0.996776599909698,0.995554884289302,Mentha (Mint)
3309,3309,Transformed\Mentha (Mint)\train\9_247_1_0.jpg,0.385,0.0,0.9956839111945904,0.5497599328238263,Mentha (Mint)
3074,3074,Transformed\Mentha (Mint)\train\50_67_0_1.jpg,0.0,0.38,0.563567505625613,0.9965448781219296,Mentha (Mint)
326,326,Transformed\Mentha (Mint)\train\13_292_0_1.jpg,0.0,0.405,0.5,0.9940851360777242,Mentha (Mint)
469,469,Transformed\Mentha (Mint)\train\15_337_1_0.jpg,0.34,0.0,0.9956179909708572,0.6556179909708572,Mentha (Mint)
809,809,Transformed\Mentha (Mint)\train\2_337_1_0.jpg,0.4,0.0,0.9911473547701268,0.5037346901512045,Mentha (Mint)
1134,1134,Transformed\Mentha (Mint)\train\24_247_0_1.jpg,0.0,0.385,0.540554884289302,0.991776599909698,Mentha (Mint)
1382,1382,Transformed\Mentha (Mint)\train\28_112_0_1.jpg,0.0,0.405,0.5,0.9940851360777242,Mentha (Mint)
1819,1819,Transformed\Mentha (Mint)\train\33_270_1_1.jpg,0.665,0.5,1.165,1.0,Mentha (Mint)
182,182,Transformed\Mentha (Mint)\train\11_247_0_1.jpg,0.0,0.385,0.5589649813583509,0.9995912224794832,Mentha (Mint)
587,587,Transformed\Mentha (Mint)\train\17_225_1_1.jpg,0.4,0.405,0.9904341622907672,0.9954341622907672,Mentha (Mint)
2892,2892,Transformed\Mentha (Mint)\train\48_202_0_0.jpg,0.0,0.0,0.5890851360777242,0.4979098879878297,Mentha (Mint)
455,455,Transformed\Mentha (Mint)\train\15_247_1_1.jpg,0.34,0.34,0.9956179909708572,0.995617990970857,Mentha (Mint)
1994,1994,Transformed\Mentha (Mint)\train\36_112_0_1.jpg,0.0,0.34,0.6508952239913498,0.9908952239913498,Mentha (Mint)
418,418,Transformed\Mentha (Mint)\train\15_45_0_1.jpg,0.0,0.29,0.7071067811865476,0.9971067811865476,Mentha (Mint)
135,135,Transformed\Mentha (Mint)\train\10_360_1_1.jpg,0.665,0.5,1.0000000000000002,1.0,Mentha (Mint)
1271,1271,Transformed\Mentha (Mint)\train\26_247_1_1.jpg,0.54,0.43,1.04,0.9996571427032168,Mentha (Mint)
2237,2237,Transformed\Mentha (Mint)\train\39_337_1_0.jpg,0.4,0.0,0.9911473547701268,0.5037346901512045,Mentha (Mint)
960,960,Transformed\Mentha (Mint)\train\22_45_0_0.jpg,0.0,0.0,0.7071067811865476,0.7071067811865476,Mentha (Mint)
2572,2572,Transformed\Mentha (Mint)\train\43_315_0_0.jpg,0.0,0.0,0.7071067811865476,0.7071067811865476,Mentha (Mint)
3183,3183,Transformed\Mentha (Mint)\train\6_292_1_1.jpg,0.5,0.405,1.0,0.9940851360777242,Mentha (Mint)
373,373,Transformed\Mentha (Mint)\train\14_180_1_0.jpg,0.625,0.0,1.0,0.5,Mentha (Mint)
2653,2653,Transformed\Mentha (Mint)\train\45_0_1_0.jpg,0.5,0.0,1.0,0.5,Mentha (Mint)
3009,3009,Transformed\Mentha (Mint)\train\5_90_1_0.jpg,0.6,0.0,1.1,0.5,Mentha (Mint)
2462,2462,Transformed\Mentha (Mint)\train\42_67_0_1.jpg,0.0,0.405,0.5037346901512043,0.9961473547701268,Mentha (Mint)
588,588,Transformed\Mentha (Mint)\train\17_247_0_0.jpg,0.0,0.0,0.5037346901512044,0.5911473547701269,Mentha (Mint)
407,407,Transformed\Mentha (Mint)\train\14_360_1_1.jpg,0.625,0.5,1.0000000000000002,1.0,Mentha (Mint)
366,366,Transformed\Mentha (Mint)\train\14_135_0_1.jpg,0.0,0.38,0.6187184335382291,0.998718433538229,Mentha (Mint)
2133,2133,Transformed\Mentha (Mint)\train\38_135_1_0.jpg,0.29,0.0,0.9971067811865476,0.7071067811865476,Mentha (Mint)
2645,2645,Transformed\Mentha (Mint)\train\44_337_1_0.jpg,0.39,0.0,0.996776599909698,0.540554884289302,Mentha (Mint)
1441,1441,Transformed\Mentha (Mint)\train\29_67_1_0.jpg,0.34,0.0,0.995617990970857,0.6556179909708572,Mentha (Mint)
3095,3095,Transformed\Mentha (Mint)\train\50_180_1_1.jpg,0.5,0.6,1.0,1.0,Mentha (Mint)
