,image_name,x0,y0,x1,y1,class
0,Transformed/Momordica Charantia (Ampalaya)/1_0_0_0.jpg,0.0,0.0,0.5,0.375,Momordica Charantia (Ampalaya)
1,Transformed/Momordica Charantia (Ampalaya)/1_0_1_0.jpg,0.5,0.0,1.0,0.375,Momordica Charantia (Ampalaya)
2,Transformed/Momordica Charantia (Ampalaya)/1_0_0_1.jpg,0.0,0.625,0.5,1.0,Momordica Charantia (Ampalaya)
3,Transformed/Momordica Charantia (Ampalaya)/1_0_1_1.jpg,0.5,0.625,1.0,1.0,Momordica Charantia (Ampalaya)
4,Transformed/Momordica Charantia (Ampalaya)/1_22_0_0.jpg,0.0,0.0,0.6040693998143607,0.5349972421705013,Momordica Charantia (Ampalaya)
5,Transformed/Momordica Charantia (Ampalaya)/1_22_1_0.jpg,0.39,0.0,0.9940693998143607,0.5349972421705013,Momordica Charantia (Ampalaya)
6,Transformed/Momordica Charantia (Ampalaya)/1_22_0_1.jpg,0.0,0.465,0.6040693998143607,0.9999972421705013,Momordica Charantia (Ampalaya)
7,Transformed/Momordica Charantia (Ampalaya)/1_22_1_1.jpg,0.39,0.465,0.9940693998143607,0.9999972421705013,Momordica Charantia (Ampalaya)
8,Transformed/Momordica Charantia (Ampalaya)/1_45_0_0.jpg,0.0,0.0,0.6187184335382291,0.6187184335382291,Momordica Charantia (Ampalaya)
9,Transformed/Momordica Charantia (Ampalaya)/1_45_1_0.jpg,0.38,0.0,0.9987184335382291,0.6187184335382291,Momordica Charantia (Ampalaya)
10,Transformed/Momordica Charantia (Ampalaya)/1_45_0_1.jpg,0.0,0.375,0.6187184335382291,0.9937184335382291,Momordica Charantia (Ampalaya)
11,Transformed/Momordica Charantia (Ampalaya)/1_45_1_1.jpg,0.38,0.375,0.9987184335382291,0.9937184335382291,Momordica Charantia (Ampalaya)
12,Transformed/Momordica Charantia (Ampalaya)/1_67_0_0.jpg,0.0,0.0,0.540554884289302,0.6067765999096979,Momordica Charantia (Ampalaya)
13,Transformed/Momordica Charantia (Ampalaya)/1_67_1_0.jpg,0.45,0.0,0.990554884289302,0.6067765999096979,Momordica Charantia (Ampalaya)
14,Transformed/Momordica Charantia (Ampalaya)/1_67_0_1.jpg,0.0,0.385,0.540554884289302,0.9917765999096979,Momordica Charantia (Ampalaya)
15,Transformed/Momordica Charantia (Ampalaya)/1_67_1_1.jpg,0.45,0.385,0.990554884289302,0.9917765999096979,Momordica Charantia (Ampalaya)
16,Transformed/Momordica Charantia (Ampalaya)/1_90_0_0.jpg,0.0,0.0,0.5,0.5,Momordica Charantia (Ampalaya)
17,Transformed/Momordica Charantia (Ampalaya)/1_90_1_0.jpg,0.625,0.0,1.125,0.5,Momordica Charantia (Ampalaya)
18,Transformed/Momordica Charantia (Ampalaya)/1_90_0_1.jpg,0.0,0.5,0.5,1.0,Momordica Charantia (Ampalaya)
19,Transformed/Momordica Charantia (Ampalaya)/1_90_1_1.jpg,0.625,0.5,1.125,1.0,Momordica Charantia (Ampalaya)
20,Transformed/Momordica Charantia (Ampalaya)/1_112_0_0.jpg,0.0,0.0,0.5349972421705015,0.6040693998143607,Momordica Charantia (Ampalaya)
21,Transformed/Momordica Charantia (Ampalaya)/1_112_1_0.jpg,0.46,0.0,0.9949972421705015,0.6040693998143607,Momordica Charantia (Ampalaya)
22,Transformed/Momordica Charantia (Ampalaya)/1_112_0_1.jpg,0.0,0.395,0.5349972421705015,0.9990693998143607,Momordica Charantia (Ampalaya)
23,Transformed/Momordica Charantia (Ampalaya)/1_112_1_1.jpg,0.46,0.395,0.9949972421705015,0.9990693998143607,Momordica Charantia (Ampalaya)
24,Transformed/Momordica Charantia (Ampalaya)/1_135_0_0.jpg,0.0,0.0,0.6187184335382291,0.6187184335382291,Momordica Charantia (Ampalaya)
