,Unnamed: 0,image_name,x0,y0,x1,y1,class
180,180,Transformed\Moringa Oleifera (Malunggay)\train\11_247_0_0.jpg,0.0,0.0,0.540554884289302,0.6067765999096979,Moringa Oleifera (Malunggay)
1226,1226,Transformed\Moringa Oleifera (Malunggay)\train\26_0_0_1.jpg,0.0,0.685,0.5,1.0,Moringa Oleifera (Malunggay)
2649,2649,Transformed\Moringa Oleifera (Malunggay)\train\44_360_1_0.jpg,0.5,0.0,1.0000000000000002,0.3750000000000001,Moringa Oleifera (Malunggay)
1486,1486,Transformed\Moringa Oleifera (Malunggay)\train\29_315_0_1.jpg,0.0,0.405,0.5904341622907673,0.9954341622907672,Moringa Oleifera (Malunggay)
787,787,Transformed\Moringa Oleifera (Malunggay)\train\2_202_1_1.jpg,0.34,0.34,0.9908952239913495,0.9908952239913498,Moringa Oleifera (Malunggay)
89,89,Transformed\Moringa Oleifera (Malunggay)\train\10_112_1_0.jpg,0.46,0.0,0.9949972421705016,0.6040693998143607,Moringa Oleifera (Malunggay)
1706,1706,Transformed\Moringa Oleifera (Malunggay)\train\32_22_0_1.jpg,0.0,0.38,0.562812757807505,0.995307597616838,Moringa Oleifera (Malunggay)
1044,1044,Transformed\Moringa Oleifera (Malunggay)\train\23_135_0_0.jpg,0.0,0.0,0.6187184335382291,0.6187184335382291,Moringa Oleifera (Malunggay)
2573,2573,Transformed\Moringa Oleifera (Malunggay)\train\43_315_1_0.jpg,0.345,0.0,0.9990737725975564,0.6540737725975566,Moringa Oleifera (Malunggay)
4642,4642,Transformed\Moringa Oleifera (Malunggay)\train\71_90_0_1.jpg,0.0,0.5,0.5,1.0,Moringa Oleifera (Malunggay)
2266,2266,Transformed\Moringa Oleifera (Malunggay)\train\4_112_0_1.jpg,0.0,0.34,0.6508952239913498,0.9908952239913498,Moringa Oleifera (Malunggay)
2281,2281,Transformed\Moringa Oleifera (Malunggay)\train\4_202_1_0.jpg,0.34,0.0,0.9908952239913495,0.6508952239913498,Moringa Oleifera (Malunggay)
1841,1841,Transformed\Moringa Oleifera (Malunggay)\train\34_22_1_0.jpg,0.4,0.0,0.9965772679460424,0.5164535650791655,Moringa Oleifera (Malunggay)
1343,1343,Transformed\Moringa Oleifera (Malunggay)\train\27_270_1_1.jpg,0.665,0.5,1.165,1.0,Moringa Oleifera (Malunggay)
2619,2619,Transformed\Moringa Oleifera (Malunggay)\train\44_180_1_1.jpg,0.5,0.625,1.0,1.0,Moringa Oleifera (Malunggay)
2141,2141,Transformed\Moringa Oleifera (Malunggay)\train\38_180_1_0.jpg,0.5,0.0,1.0,0.5,Moringa Oleifera (Malunggay)
679,679,Transformed\Moringa Oleifera (Malunggay)\train\18_360_1_1.jpg,0.5,0.645,1.0000000000000002,1.0000000000000002,Moringa Oleifera (Malunggay)
990,990,Transformed\Moringa Oleifera (Malunggay)\train\22_202_0_1.jpg,0.0,0.34,0.6508952239913497,0.9908952239913498,Moringa Oleifera (Malunggay)
3987,3987,Transformed\Moringa Oleifera (Malunggay)\train\62_225_1_1.jpg,0.33,0.335,0.991144840409422,0.996144840409422,Moringa Oleifera (Malunggay)
3477,3477,Transformed\Moringa Oleifera (Malunggay)\train\56_45_1_0.jpg,0.46,0.0,0.9903300858899108,0.5303300858899107,Moringa Oleifera (Malunggay)
4531,4531,Transformed\Moringa Oleifera (Malunggay)\train\7_225_1_1.jpg,0.38,0.375,0.9987184335382292,0.9937184335382292,Moringa Oleifera (Malunggay)
4481,4481,Transformed\Moringa Oleifera (Malunggay)\train\69_337_1_0.jpg,0.4,0.0,0.9911473547701268,0.5037346901512045,Moringa Oleifera (Malunggay)
3346,3346,Transformed\Moringa Oleifera (Malunggay)\train\54_67_0_1.jpg,0.0,0.49,0.5911473547701269,0.9937346901512044,Moringa Oleifera (Malunggay)
3114,3114,Transformed\Moringa Oleifera (Malunggay)\train\50_292_0_1.jpg,0.0,0.405,0.5,0.9940851360777242,Moringa Oleifera (Malunggay)
3110,3110,Transformed\Moringa Oleifera (Malunggay)\train\50_270_0_1.jpg,0.0,0.5,0.5,1.0,Moringa Oleifera (Malunggay)
2350,2350,Transformed\Moringa Oleifera (Malunggay)\train\40_202_0_1.jpg,0.0,0.41,0.6246727624522359,0.9959923541716744,Moringa Oleifera (Malunggay)
3195,3195,Transformed\Moringa Oleifera (Malunggay)\train\51_360_1_1.jpg,0.5,0.67,1.0000000000000002,1.0000000000000002,Moringa Oleifera (Malunggay)
