,image_name,x0,y0,x1,y1,class
0,Transformed/Psidium Guajava (Guava)/1_0_0_0.jpg,0.0,0.0,0.5,0.335,Psidium Guajava (Guava)
1,Transformed/Psidium Guajava (Guava)/1_0_1_0.jpg,0.5,0.0,1.0,0.335,Psidium Guajava (Guava)
2,Transformed/Psidium Guajava (Guava)/1_0_0_1.jpg,0.0,0.665,0.5,1.0,Psidium Guajava (Guava)
3,Transformed/Psidium Guajava (Guava)/1_0_1_1.jpg,0.5,0.665,1.0,1.0,Psidium Guajava (Guava)
4,Transformed/Psidium Guajava (Guava)/1_22_0_0.jpg,0.0,0.0,0.5890851360777242,0.49790988798782976,Psidium Guajava (Guava)
5,Transformed/Psidium Guajava (Guava)/1_22_1_0.jpg,0.41,0.0,0.9990851360777242,0.49790988798782976,Psidium Guajava (Guava)
6,Transformed/Psidium Guajava (Guava)/1_22_0_1.jpg,0.0,0.495,0.5890851360777242,0.9929098879878298,Psidium Guajava (Guava)
7,Transformed/Psidium Guajava (Guava)/1_22_1_1.jpg,0.41,0.495,0.9990851360777242,0.9929098879878298,Psidium Guajava (Guava)
8,Transformed/Psidium Guajava (Guava)/1_45_0_0.jpg,0.0,0.0,0.5904341622907673,0.5904341622907673,Psidium Guajava (Guava)
9,Transformed/Psidium Guajava (Guava)/1_45_1_0.jpg,0.4,0.0,0.9904341622907673,0.5904341622907673,Psidium Guajava (Guava)
10,Transformed/Psidium Guajava (Guava)/1_45_0_1.jpg,0.0,0.405,0.5904341622907673,0.9954341622907673,Psidium Guajava (Guava)
11,Transformed/Psidium Guajava (Guava)/1_45_1_1.jpg,0.4,0.405,0.9904341622907673,0.9954341622907673,Psidium Guajava (Guava)
12,Transformed/Psidium Guajava (Guava)/1_67_0_0.jpg,0.0,0.0,0.5037346901512043,0.5911473547701269,Psidium Guajava (Guava)
13,Transformed/Psidium Guajava (Guava)/1_67_1_0.jpg,0.49,0.0,0.9937346901512043,0.5911473547701269,Psidium Guajava (Guava)
14,Transformed/Psidium Guajava (Guava)/1_67_0_1.jpg,0.0,0.405,0.5037346901512043,0.9961473547701268,Psidium Guajava (Guava)
15,Transformed/Psidium Guajava (Guava)/1_67_1_1.jpg,0.49,0.405,0.9937346901512043,0.9961473547701268,Psidium Guajava (Guava)
16,Transformed/Psidium Guajava (Guava)/1_90_0_0.jpg,0.0,0.0,0.5,0.5,Psidium Guajava (Guava)
17,Transformed/Psidium Guajava (Guava)/1_90_1_0.jpg,0.665,0.0,1.165,0.5,Psidium Guajava (Guava)
18,Transformed/Psidium Guajava (Guava)/1_90_0_1.jpg,0.0,0.5,0.5,1.0,Psidium Guajava (Guava)
19,Transformed/Psidium Guajava (Guava)/1_90_1_1.jpg,0.665,0.5,1.165,1.0,Psidium Guajava (Guava)
20,Transformed/Psidium Guajava (Guava)/1_112_0_0.jpg,0.0,0.0,0.5,0.5890851360777242,Psidium Guajava (Guava)
21,Transformed/Psidium Guajava (Guava)/1_112_1_0.jpg,0.5,0.0,1.0,0.5890851360777242,Psidium Guajava (Guava)
22,Transformed/Psidium Guajava (Guava)/1_112_0_1.jpg,0.0,0.405,0.5,0.9940851360777242,Psidium Guajava (Guava)
