,Unnamed: 0,image_name,x0,y0,x1,y1,class
3290,3290,Transformed\Psidium Guajava (Guava)\train\6_135_0_1.jpg,0.0,0.375,0.6187184335382291,0.9937184335382292,Psidium Guajava (Guava)
2610,2610,Transformed\Psidium Guajava (Guava)\train\45_135_0_1.jpg,0.0,0.375,0.6187184335382291,0.9937184335382292,Psidium Guajava (Guava)
58,58,Transformed\Psidium Guajava (Guava)\train\1_315_0_1.jpg,0.0,0.405,0.5904341622907673,0.9954341622907672,Psidium Guajava (Guava)
1869,1869,Transformed\Psidium Guajava (Guava)\train\34_180_1_0.jpg,0.6,0.0,1.0,0.5,Psidium Guajava (Guava)
163,163,Transformed\Psidium Guajava (Guava)\train\11_135_1_1.jpg,0.375,0.38,0.9937184335382292,0.998718433538229,Psidium Guajava (Guava)
1454,1454,Transformed\Psidium Guajava (Guava)\train\29_135_0_1.jpg,0.0,0.405,0.5904341622907672,0.9954341622907672,Psidium Guajava (Guava)
846,846,Transformed\Psidium Guajava (Guava)\train\20_157_0_1.jpg,0.0,0.455,0.6067765999096979,0.995554884289302,Psidium Guajava (Guava)
2471,2471,Transformed\Psidium Guajava (Guava)\train\43_112_1_1.jpg,0.39,0.46,0.9921963668472812,0.9903613228976677,Psidium Guajava (Guava)
570,570,Transformed\Psidium Guajava (Guava)\train\17_135_0_1.jpg,0.0,0.37,0.6293250352560272,0.9993250352560272,Psidium Guajava (Guava)
1186,1186,Transformed\Psidium Guajava (Guava)\train\25_157_0_1.jpg,0.0,0.495,0.5911473547701269,0.9987346901512044,Psidium Guajava (Guava)
2485,2485,Transformed\Psidium Guajava (Guava)\train\43_202_1_0.jpg,0.46,0.0,0.9903613228976674,0.6021963668472812,Psidium Guajava (Guava)
1939,1939,Transformed\Psidium Guajava (Guava)\train\35_180_1_1.jpg,0.55,0.5,1.0,1.0,Psidium Guajava (Guava)
1617,1617,Transformed\Psidium Guajava (Guava)\train\30_292_1_0.jpg,0.46,0.0,0.9949972421705012,0.6040693998143607,Psidium Guajava (Guava)
