,Unnamed: 0,image_name,x0,y0,x1,y1,class
1978,1978,Transformed\Vitex Negundo (Lagundi)\train\37_22_0_1.jpg,0.0,0.475,0.5965772679460425,0.9914535650791656,Vitex Negundo (Lagundi)
2477,2477,Transformed\Vitex Negundo (Lagundi)\train\43_157_1_0.jpg,0.455,0.0,0.995554884289302,0.6067765999096979,Vitex Negundo (Lagundi)
780,780,Transformed\Vitex Negundo (Lagundi)\train\20_180_0_0.jpg,0.0,0.0,0.33,0.5,Vitex Negundo (Lagundi)
2277,2277,Transformed\Vitex Negundo (Lagundi)\train\40_180_1_0.jpg,0.5,0.0,1.0,0.375,Vitex Negundo (Lagundi)
3189,3189,Transformed\Vitex Negundo (Lagundi)\train\52_337_1_0.jpg,0.39,0.0,0.996776599909698,0.540554884289302,Vitex Negundo (Lagundi)
281,281,Transformed\Vitex Negundo (Lagundi)\train\14_45_1_0.jpg,0.32,0.0,0.9988225099390856,0.6788225099390857,Vitex Negundo (Lagundi)
168,168,Transformed\Vitex Negundo (Lagundi)\train\11_180_0_0.jpg,0.0,0.0,0.5,0.375,Vitex Negundo (Lagundi)
3250,3250,Transformed\Vitex Negundo (Lagundi)\train\53_292_0_1.jpg,0.0,0.4,0.5025458072606637,0.9909581690448036,Vitex Negundo (Lagundi)
2738,2738,Transformed\Vitex Negundo (Lagundi)\train\47_90_0_1.jpg,0.0,0.625,0.5,1.125,Vitex Negundo (Lagundi)
3477,3477,Transformed\Vitex Negundo (Lagundi)\train\9_45_1_0.jpg,0.29,0.0,0.9971067811865476,0.7071067811865476,Vitex Negundo (Lagundi)
2014,2014,Transformed\Vitex Negundo (Lagundi)\train\37_225_0_1.jpg,0.0,0.395,0.6045762979144982,0.9995762979144982,Vitex Negundo (Lagundi)
1100,1100,Transformed\Vitex Negundo (Lagundi)\train\25_67_0_0.jpg,0.0,0.0,0.540554884289302,0.6067765999096979,Vitex Negundo (Lagundi)
1872,1872,Transformed\Vitex Negundo (Lagundi)\train\35_202_0_0.jpg,0.0,0.0,0.4932739687149958,0.5872121031106446,Vitex Negundo (Lagundi)
2429,2429,Transformed\Vitex Negundo (Lagundi)\train\42_270_1_0.jpg,0.685,0.0,1.185,0.5,Vitex Negundo (Lagundi)
1821,1821,Transformed\Vitex Negundo (Lagundi)\train\34_292_1_0.jpg,0.395,0.0,0.9990693998143608,0.5349972421705013,Vitex Negundo (Lagundi)
2236,2236,Transformed\Vitex Negundo (Lagundi)\train\4_337_0_0.jpg,0.0,0.0,0.5891936991276805,0.4991321658839422,Vitex Negundo (Lagundi)
1262,1262,Transformed\Vitex Negundo (Lagundi)\train\27_202_0_1.jpg,0.0,0.465,0.6040693998143607,0.9999972421705012,Vitex Negundo (Lagundi)
1735,1735,Transformed\Vitex Negundo (Lagundi)\train\33_180_1_1.jpg,0.5,0.665,1.0,1.0,Vitex Negundo (Lagundi)
2859,2859,Transformed\Vitex Negundo (Lagundi)\train\49_0_1_1.jpg,0.5,0.625,1.0,1.0,Vitex Negundo (Lagundi)
2317,2317,Transformed\Vitex Negundo (Lagundi)\train\41_22_1_0.jpg,0.43,0.0,0.998481773439849,0.4469147759866564,Vitex Negundo (Lagundi)
3340,3340,Transformed\Vitex Negundo (Lagundi)\train\7_45_0_0.jpg,0.0,0.0,0.5550788232314399,0.5550788232314399,Vitex Negundo (Lagundi)
1666,1666,Transformed\Vitex Negundo (Lagundi)\train\32_180_0_1.jpg,0.0,0.625,0.5,1.0,Vitex Negundo (Lagundi)
